e p cs2 n    
6.4160e-10 1.1860e-16 3.0503e-07 4.3310e-12
5.8250e-09 6.0810e-15 1.7727e-06 3.9340e-11
1.4630e-08 3.1000e-14 3.5779e-06 9.8810e-11
3.6750e-08 1.5170e-13 6.8088e-06 2.4830e-10
9.2280e-08 7.1830e-13 1.2533e-05 6.2350e-10
2.3190e-07 3.2860e-12 2.2238e-05 1.5660e-09
5.8250e-07 1.4470e-11 3.7826e-05 3.9340e-09
1.4630e-06 6.0880e-11 6.1271e-05 9.8810e-09
3.6760e-06 2.4410e-10 8.6738e-05 2.4830e-08
4.6270e-06 3.2820e-10 9.4377e-05 3.1250e-08
9.2330e-06 8.9550e-10 1.3643e-04 6.2350e-08
1.8420e-05 2.3920e-09 1.7924e-04 1.2440e-07
3.6760e-05 6.2780e-09 2.3208e-04 2.4820e-07
7.3370e-05 1.6250e-08 2.9761e-04 4.9530e-07
1.4640e-04 4.1660e-08 3.4243e-04 9.8810e-07
1.8430e-04 5.4530e-08 3.6494e-04 1.2440e-06
2.9220e-04 1.0170e-07 4.6567e-04 1.9720e-06
4.6310e-04 1.8900e-07 5.4735e-04 3.1250e-06
5.8300e-04 2.5770e-07 4.8513e-04 3.9340e-06
7.3420e-04 3.1430e-07 4.7337e-04 4.9520e-06
9.2450e-04 4.2810e-07 6.1847e-04 6.2350e-06
1.4650e-03 7.9380e-07 7.1970e-04 9.8810e-06
2.3230e-03 1.4700e-06 8.3936e-04 1.5660e-05
3.6830e-03 2.7220e-06 8.7916e-04 2.4820e-05
4.6370e-03 3.5330e-06 9.4424e-04 3.1250e-05
5.8360e-03 4.8070e-06 1.0978e-03 3.9340e-05
7.3530e-03 6.5400e-06 1.1841e-03 4.9520e-05
9.2560e-03 8.8930e-06 1.2777e-03 6.2350e-05
1.1660e-02 1.2090e-05 1.2585e-03 7.8500e-05
1.4680e-02 1.5620e-05 1.3062e-03 9.8810e-05
1.8480e-02 2.1240e-05 1.5288e-03 1.2440e-04
2.3280e-02 2.8880e-05 1.0957e-03 1.5660e-04
2.9310e-02 3.1730e-05 1.3529e-03 1.9720e-04
3.6920e-02 5.0480e-05 2.2135e-03 2.4820e-04
4.6490e-02 6.8650e-05 1.9653e-03 3.1250e-04
5.8520e-02 9.3300e-05 2.1177e-03 3.9340e-04
7.3760e-02 1.2690e-04 2.0449e-03 4.9530e-04
9.2840e-02 1.6210e-04 1.8345e-03 6.2350e-04
1.0290e-01 1.8050e-04 1.8049e-03 6.9060e-04
1.1690e-01 2.0530e-04 1.9783e-03 7.8500e-04
1.4730e-01 2.7910e-04 2.3251e-03 9.8810e-04
1.8550e-01 3.6300e-04 2.2331e-03 1.2440e-03
2.3980e-01 4.8710e-04 8.3011e-04 1.6080e-03
2.4880e-01 4.9240e-04 6.0318e-04 1.6690e-03
2.9170e-01 5.2120e-04 6.4741e-04 1.9540e-03
3.6880e-01 5.6780e-04 4.7704e-04 2.4690e-03
4.4430e-01 5.9440e-04 2.8363e-04 2.9740e-03
5.4270e-01 6.1350e-04 3.2944e-04 3.6330e-03
6.6730e-01 6.7590e-04 5.2236e-04 4.4640e-03
8.2070e-01 7.6010e-04 7.7829e-04 5.4910e-03
9.3900e-01 8.7310e-04 9.8696e-04 6.2500e-03
3.7620e+00 5.7990e-03 1.6638e-03 2.5000e-02
7.5300e+00 1.1660e-02 1.9964e-03 5.0000e-02
1.1300e+01 2.0850e-02 2.7145e-03 7.5000e-02
1.5080e+01 3.2160e-02 3.2143e-03 1.0000e-01
1.8860e+01 4.5150e-02 3.6310e-03 1.2500e-01
2.2640e+01 5.9610e-02 4.0066e-03 1.5000e-01
2.6420e+01 7.5440e-02 4.3575e-03 1.7500e-01
3.0210e+01 9.2600e-02 4.6913e-03 2.0000e-01
3.4000e+01 1.1100e-01 5.0396e-03 2.2500e-01
3.7790e+01 1.3080e-01 5.3826e-03 2.5000e-01
4.1580e+01 1.5180e-01 5.7176e-03 2.7500e-01
4.5380e+01 1.7420e-01 6.0789e-03 3.0000e-01
4.9180e+01 1.9800e-01 6.4342e-03 3.2500e-01
5.2980e+01 2.2310e-01 6.8026e-03 3.5000e-01
5.6780e+01 2.4970e-01 7.1842e-03 3.7500e-01
6.0580e+01 2.7770e-01 7.5789e-03 4.0000e-01
6.4380e+01 3.0730e-01 7.9890e-03 4.2500e-01
6.8190e+01 3.3850e-01 8.3990e-03 4.5000e-01
7.2000e+01 3.7130e-01 8.7795e-03 4.7500e-01
7.5810e+01 4.0540e-01 1.2502e-02 5.0000e-01
8.7990e+01 6.9600e-01 2.3255e-02 5.7920e-01
1.0840e+02 1.1500e+00 2.6325e-02 7.1240e-01
1.1970e+02 1.4730e+00 3.0881e-02 7.8610e-01
1.3190e+02 1.8800e+00 3.6437e-02 8.6460e-01
1.4480e+02 2.3920e+00 4.4493e-02 9.4830e-01
1.5870e+02 3.0824e+00 4.8044e-02 1.0371e+00
1.6850e+02 3.5420e+00 7.0439e-02 1.1000e+00
1.8420e+02 5.2400e+00 1.2541e-01 1.2000e+00
2.0010e+02 7.5120e+00 1.6349e-01 1.3000e+00
2.1620e+02 1.0480e+01 2.0920e-01 1.4000e+00
2.3250e+02 1.4300e+01 2.9872e-01 1.5000e+00
2.4920e+02 2.0390e+01 4.1795e-01 1.6000e+00
2.6630e+02 2.8470e+01 5.3394e-01 1.7000e+00
2.8390e+02 3.8980e+01 6.6633e-01 1.8000e+00
3.0220e+02 5.2490e+01 8.1509e-01 1.9000e+00
3.2130e+02 6.9590e+01 7.2773e-01 2.0000e+00
3.4110e+02 8.0560e+01 5.7406e-01 2.1000e+00
3.6140e+02 9.2630e+01 6.1059e-01 2.2000e+00
3.8240e+02 1.0580e+02 6.4820e-01 2.3000e+00
4.0390e+02 1.2020e+02 6.8981e-01 2.4000e+00
4.2600e+02 1.3590e+02 7.2610e-01 2.5000e+00
4.4890e+02 1.5290e+02 7.6199e-01 2.6000e+00
4.7230e+02 1.7120e+02 7.9778e-01 2.7000e+00
4.9650e+02 1.9090e+02 8.3075e-01 2.8000e+00
5.2150e+02 2.1210e+02 8.6713e-01 2.9000e+00
5.4710e+02 2.3480e+02 9.0159e-01 3.0000e+00
5.7360e+02 2.5910e+02 9.3261e-01 3.1000e+00
6.0090e+02 2.8500e+02 9.6522e-01 3.2000e+00
6.2900e+02 3.1260e+02 9.8221e-01 3.3000e+00
