e p
5.50194e+04 2.75082e-01
6.16993e+04 3.32987e-01
6.91903e+04 4.03052e-01
7.75907e+04 4.87872e-01
8.70110e+04 5.90535e-01
9.75751e+04 7.14808e-01
1.09422e+05 8.65204e-01
1.22707e+05 1.04729e+00
1.37605e+05 1.26767e+00
1.54311e+05 1.53438e+00
1.73046e+05 1.85730e+00
1.94056e+05 2.24813e+00
2.17617e+05 2.72118e+00
2.44038e+05 3.29379e+00
2.73667e+05 3.98692e+00
3.06893e+05 4.82590e+00
3.44153e+05 5.84141e+00
3.85938e+05 7.07059e+00
4.32795e+05 8.55848e+00
4.85342e+05 1.03594e+01
5.44268e+05 1.25393e+01
6.10350e+05 1.51779e+01
6.84454e+05 1.83718e+01
7.67556e+05 2.22377e+01
8.60747e+05 2.69172e+01
9.65254e+05 3.25812e+01
1.08245e+06 3.94372e+01
1.21387e+06 4.77358e+01
1.36126e+06 5.77807e+01
1.52653e+06 6.99391e+01
1.71188e+06 8.46560e+01
1.91973e+06 1.02470e+02
2.15282e+06 1.24032e+02
2.41421e+06 1.50131e+02
2.70733e+06 1.81721e+02
3.03605e+06 2.19959e+02
3.40469e+06 2.66243e+02
3.81809e+06 3.22266e+02
4.28168e+06 3.90076e+02
4.80157e+06 4.72155e+02
5.38459e+06 5.71503e+02
6.03841e+06 6.91755e+02
6.77162e+06 8.37309e+02
7.59387e+06 1.01349e+03
8.51598e+06 1.22674e+03
9.55006e+06 1.48485e+03
1.07097e+07 1.79727e+03
1.20102e+07 2.17542e+03
1.34687e+07 2.63313e+03
1.51043e+07 3.18714e+03
1.69385e+07 3.85770e+03
1.89955e+07 4.66934e+03
2.13024e+07 5.65172e+03
2.38894e+07 6.84076e+03
2.67907e+07 8.27994e+03
3.00445e+07 1.00219e+04
3.36935e+07 1.21302e+04
3.77859e+07 1.46821e+04
4.23754e+07 1.77707e+04
4.75226e+07 2.15089e+04
5.32951e+07 2.60334e+04
5.97691e+07 3.15095e+04
6.70299e+07 3.81372e+04
7.51731e+07 4.61588e+04
8.43060e+07 5.58673e+04
9.45490e+07 6.76172e+04
1.06037e+08 8.18377e+04
1.18922e+08 9.90482e+04
1.33374e+08 1.19877e+05
1.49582e+08 1.45084e+05
1.67762e+08 1.75591e+05
1.88154e+08 2.12509e+05
2.11026e+08 2.57187e+05
2.36681e+08 3.11253e+05
2.65458e+08 3.76681e+05
2.97737e+08 4.55855e+05
3.33946e+08 5.51662e+05
3.74564e+08 6.67594e+05
4.20129e+08 8.07873e+05
4.71244e+08 9.77609e+05
5.28589e+08 1.18298e+06
5.92922e+08 1.43147e+06
6.65100e+08 1.73210e+06
7.46081e+08 2.09582e+06
8.36942e+08 2.53584e+06
9.38893e+08 3.06815e+06
1.05329e+09 3.71207e+06
1.18167e+09 4.49097e+06
1.32573e+09 5.43310e+06
1.48742e+09 6.57259e+06
1.66888e+09 7.95072e+06
1.87256e+09 9.61734e+06
2.10119e+09 1.16327e+07
2.35785e+09 1.40696e+07
2.64599e+09 1.70160e+07
2.96951e+09 2.05780e+07
3.33278e+09 2.48840e+07
3.74074e+09 3.00888e+07
4.19892e+09 3.63792e+07
4.71356e+09 4.39809e+07
5.29170e+09 5.31662e+07
5.94126e+09 6.42633e+07
6.67116e+09 7.76683e+07
7.49146e+09 9.38588e+07
8.41352e+09 1.13410e+08
9.45013e+09 1.37017e+08
1.06157e+10 1.65513e+08
1.19267e+10 1.99907e+08
1.34014e+10 2.41408e+08
1.50606e+10 2.91475e+08
1.69280e+10 3.51861e+08
1.90301e+10 4.24674e+08
2.13972e+10 5.12447e+08
2.40633e+10 6.18225e+08
2.70672e+10 7.45662e+08
3.04528e+10 8.99141e+08
3.42699e+10 1.08392e+09
3.85750e+10 1.30631e+09
4.34325e+10 1.57385e+09
4.89152e+10 1.89559e+09
5.51064e+10 2.28234e+09
6.21008e+10 2.74702e+09
7.00061e+10 3.30510e+09
7.89455e+10 3.97500e+09
8.90592e+10 4.77872e+09
1.00508e+11 5.74250e+09
1.13474e+11 6.89756e+09
1.28168e+11 8.28108e+09
1.44830e+11 9.93727e+09
1.63735e+11 1.19187e+10
1.85198e+11 1.42876e+10
2.09580e+11 1.71181e+10
2.37299e+11 2.04978e+10
2.68831e+11 2.45305e+10
3.04726e+11 2.93392e+10
3.45615e+11 3.50690e+10
3.92228e+11 4.18917e+10
4.45404e+11 5.00098e+10
5.06110e+11 5.96623e+10
5.75463e+11 7.11308e+10
6.54753e+11 8.47471e+10
7.45469e+11 1.00902e+11
8.49335e+11 1.20054e+11
9.68340e+11 1.42743e+11
1.10479e+12 1.69604e+11
1.26135e+12 2.01381e+11
1.44111e+12 2.38947e+11
1.64766e+12 2.83327e+11
1.88513e+12 3.35723e+11
2.15834e+12 3.97541e+11
2.47287e+12 4.70429e+11
2.83519e+12 5.56317e+11
3.25280e+12 6.57463e+11
3.73444e+12 7.76507e+11
4.29022e+12 9.16540e+11
4.93191e+12 1.08117e+12
5.67316e+12 1.27463e+12
6.52984e+12 1.50184e+12
7.52042e+12 1.76856e+12
