e p
4.40167e+02 1.49451e-02
4.88478e+02 1.84141e-02
5.42092e+02 2.26753e-02
6.01591e+02 2.79125e-02
6.67621e+02 3.43901e-02
7.40898e+02 4.23152e-02
8.22218e+02 5.21049e-02
9.12465e+02 6.41636e-02
1.01262e+03 7.89891e-02
1.12377e+03 9.72848e-02
1.24711e+03 1.19806e-01
1.38400e+03 1.47550e-01
1.53592e+03 1.81671e-01
1.70451e+03 2.23713e-01
1.89161e+03 2.75483e-01
2.09925e+03 3.39248e-01
2.32969e+03 4.17699e-01
2.58543e+03 5.14395e-01
2.86925e+03 6.33416e-01
3.18424e+03 7.80017e-01
3.53381e+03 9.60550e-01
3.92177e+03 1.18282e+00
4.35234e+03 1.45656e+00
4.83020e+03 1.79363e+00
5.36055e+03 2.20876e+00
5.94915e+03 2.71999e+00
6.60241e+03 3.34953e+00
7.32745e+03 4.12476e+00
8.13216e+03 5.07944e+00
9.02531e+03 6.25512e+00
1.00166e+04 7.70293e+00
1.11169e+04 9.48586e+00
1.23382e+04 1.16815e+01
1.36937e+04 1.43855e+01
1.51984e+04 1.77153e+01
1.68686e+04 2.18159e+01
1.87227e+04 2.68658e+01
2.07808e+04 3.30847e+01
2.30656e+04 4.07432e+01
2.56020e+04 5.01746e+01
2.84180e+04 6.17893e+01
3.15445e+04 7.60928e+01
3.50159e+04 9.37076e+01
3.88704e+04 1.15400e+02
4.31505e+04 1.42115e+02
4.79037e+04 1.75014e+02
5.31826e+04 2.15529e+02
5.90458e+04 2.65424e+02
6.55585e+04 3.26871e+02
7.27935e+04 4.02542e+02
8.08318e+04 4.95733e+02
8.97637e+04 6.10499e+02
9.96898e+04 7.51834e+02
1.10723e+05 9.25891e+02
1.22987e+05 1.14025e+03
1.36625e+05 1.40423e+03
1.51790e+05 1.72932e+03
1.68660e+05 2.12969e+03
1.87431e+05 2.62275e+03
2.08321e+05 3.22996e+03
2.31578e+05 3.97775e+03
2.57479e+05 4.89868e+03
2.86335e+05 6.03283e+03
3.18495e+05 7.42956e+03
3.54356e+05 9.14967e+03
3.94362e+05 1.12680e+04
4.39016e+05 1.38769e+04
4.88890e+05 1.70897e+04
5.44628e+05 2.10464e+04
6.06966e+05 2.59192e+04
6.76739e+05 3.19203e+04
7.54900e+05 3.93107e+04
8.42540e+05 4.84123e+04
9.40908e+05 5.96212e+04
1.05144e+06 7.34254e+04
1.17578e+06 9.04257e+04
1.31584e+06 1.11362e+05
1.47382e+06 1.37146e+05
1.65227e+06 1.68900e+05
1.85419e+06 2.08006e+05
2.08302e+06 2.56167e+05
2.34284e+06 3.15478e+05
2.63840e+06 3.88523e+05
2.97529e+06 4.78480e+05
3.36011e+06 5.89265e+05
3.80066e+06 7.25702e+05
4.30618e+06 8.93730e+05
4.88765e+06 1.10066e+06
5.55814e+06 1.35551e+06
6.33326e+06 1.66936e+06
7.23168e+06 2.05588e+06
8.27577e+06 2.53190e+06
9.49244e+06 3.11814e+06
1.09140e+07 3.84011e+06
1.25796e+07 4.72925e+06
1.45363e+07 5.82427e+06
1.68410e+07 7.17283e+06
1.95630e+07 8.83364e+06
2.27860e+07 1.08790e+07
2.66119e+07 1.33979e+07
3.11644e+07 1.65001e+07
3.65945e+07 2.03206e+07
4.30858e+07 2.50257e+07
5.08627e+07 3.08203e+07
6.01988e+07 3.79565e+07
7.14288e+07 4.67451e+07
8.49618e+07 5.75687e+07
1.01298e+08 7.08984e+07
1.21051e+08 8.73145e+07
1.44972e+08 1.07532e+08
1.73980e+08 1.32430e+08
2.09204e+08 1.63094e+08
2.52029e+08 2.00857e+08
3.04154e+08 2.47365e+08
3.67664e+08 3.04641e+08
4.45121e+08 3.75180e+08
5.39670e+08 4.62051e+08
6.55177e+08 5.69037e+08
7.96392e+08 7.00795e+08
9.69154e+08 8.63062e+08
1.18064e+09 1.06290e+09
1.43968e+09 1.30901e+09
1.75712e+09 1.61211e+09
2.14632e+09 1.98539e+09
2.62370e+09 2.44510e+09
3.20947e+09 3.01126e+09
3.92848e+09 3.70851e+09
4.81133e+09 4.56720e+09
5.89566e+09 5.62473e+09
7.22780e+09 6.92712e+09
8.86478e+09 8.53108e+09
1.08768e+10 1.05064e+10
1.33502e+10 1.29392e+10
1.63914e+10 1.59352e+10
2.01312e+10 1.96250e+10
2.47310e+10 2.41691e+10
3.03890e+10 2.97654e+10
3.73497e+10 3.66576e+10
4.59137e+10 4.51456e+10
5.64515e+10 5.55989e+10
6.94190e+10 6.84728e+10
8.53778e+10 8.43276e+10
1.05019e+11 1.03854e+11
1.29194e+11 1.27901e+11
1.58952e+11 1.57516e+11
1.95582e+11 1.93989e+11
2.40675e+11 2.38906e+11
2.96189e+11 2.94225e+11
3.64532e+11 3.62353e+11
4.48674e+11 4.46255e+11
5.52270e+11 5.49585e+11
6.79822e+11 6.76841e+11
8.36872e+11 8.33563e+11
1.03025e+12 1.02657e+12
1.26835e+12 1.26428e+12
1.56154e+12 1.55702e+12
1.92257e+12 1.91755e+12
2.36713e+12 2.36155e+12
2.91456e+12 2.90837e+12
3.58868e+12 3.58180e+12
4.41880e+12 4.41116e+12
