EOS log_rho0 log_K1 gamma1 gamma2 gamma3
APR 1.404e+01 -3.321e+01 3.169e+00 3.452e+00 3.310e+00
BHF 1.413e+01 -3.502e+01 3.284e+00 2.774e+00 2.618e+00
FPS 1.409e+01 -3.298e+01 3.147e+00 2.652e+00 2.199e+00
H4 1.350e+01 -2.331e+01 2.514e+00 2.333e+00 1.562e+00
KDE0V 1.398e+01 -3.025e+01 2.967e+00 2.835e+00 2.803e+00
KDE0V1 1.393e+01 -2.923e+01 2.900e+00 2.809e+00 2.747e+00
MPA1 1.409e+01 -4.030e+01 3.662e+00 3.057e+00 2.298e+00
MS1 1.366e+01 -3.017e+01 2.998e+00 2.123e+00 1.955e+00
MS1b 1.379e+01 -3.377e+01 3.241e+00 2.136e+00 1.963e+00
QHC19 1.410e+01 -3.688e+01 3.419e+00 2.760e+00 2.017e+00
RS 1.364e+01 -2.515e+01 2.636e+00 2.677e+00 2.647e+00
SK255 1.368e+01 -2.599e+01 2.693e+00 2.729e+00 2.667e+00
SK272 1.373e+01 -2.760e+01 2.804e+00 2.793e+00 2.733e+00
SKI2 1.355e+01 -2.420e+01 2.575e+00 2.639e+00 2.656e+00
SKI3 1.366e+01 -2.646e+01 2.729e+00 2.680e+00 2.708e+00
SKI4 1.391e+01 -3.101e+01 3.029e+00 2.759e+00 2.651e+00
SKI5 1.344e+01 -2.311e+01 2.505e+00 2.708e+00 2.727e+00
SKI6 1.390e+01 -3.109e+01 3.035e+00 2.762e+00 2.653e+00
SKMP 1.376e+01 -2.712e+01 2.766e+00 2.741e+00 2.698e+00
SKOP 1.376e+01 -2.609e+01 2.693e+00 2.660e+00 2.579e+00
SLY2 1.397e+01 -3.107e+01 3.026e+00 2.871e+00 2.760e+00
SLY230A 1.402e+01 -3.338e+01 3.184e+00 2.895e+00 2.588e+00
SLY4 1.398e+01 -3.135e+01 3.045e+00 2.884e+00 2.773e+00
SLY9 1.390e+01 -3.066e+01 3.005e+00 2.796e+00 2.652e+00
WFF1 1.413e+01 -3.439e+01 3.240e+00 3.484e+00 3.695e+00
HEB 1.3865e+01 -2.722e+01 2.764e+00 7.750e+00 3.250e+00
HEB2PT 1.3865e+01 -2.722e+01 2.764e+00 1.0e+01 2.0e+00
HEB_stiff 1.3865e+01 -2.722e+01 2.764e+00 7.0e+00 3.1e+00
HEB_inter 1.3865e+01 -2.722e+01 2.748e+00 6.5e+00 3.25e+00
