EOS rho0 log_K1 Gamma1 Gamma2 Gamma3
APR 2.676 -34.917 3.282 3.595 3.305
BHF 1.912 -33.541 3.185 2.838 2.753
FPS 2.491 -28.901 2.873 2.58 2.534
H4 3.547 -21.11 2.369 1.535 1.5362
KDE0V 2.73 -30.351 2.974 2.788 2.808
KDE0V1 2.709 -29.531 2.92 2.786 2.758
MPA1 1.781 -40.301 3.661 3.044 2.58
MS1 2.748 -35.667 3.369 1.112 1.911
MS1b 2.39 -34.955 3.321 1.047 1.934
QHC19 1.313 -36.879 3.42 2.597 1.769
RS 1.771 -25.15 2.636 2.749 2.638
SK255 2.817 -26.896 2.754 2.739 2.684
SK272 1.903 -27.597 2.804 2.867 2.718
SKI2 1.826 -24.202 2.575 2.688 2.636
SKI3 1.865 -26.457 2.729 2.552 2.757
SKI4 1.939 -31.008 3.029 2.564 2.725
SKI5 1.761 -23.109 2.505 2.843 2.782
SKI6 1.943 -31.089 3.036 2.556 2.736
SKMP 1.739 -27.116 2.766 2.757 2.705
SKOP 1.379 -26.089 2.693 2.684 2.603
SLY2 1.987 -31.07 3.026 2.835 2.786
SLY230A 1.739 -33.385 3.184 2.807 2.678
SLY4 1.975 -31.254 3.038 2.854 2.809
SLY9 1.08 -30.657 3.005 2.675 2.72
WFF1 2.817 -38.158 3.489 3.85 4.073
