e p n mu_b mu_e Gamma cs2 increasing
8.576120e-09 1.175710e-14 9.216870e-09 9.304150e+02 5.205220e-01 1.781960e+00 2.442910e-06 1.000000e+00
8.869520e-09 1.248300e-14 9.532210e-09 9.304150e+02 5.207350e-01 1.779850e+00 2.504970e-06 1.000000e+00
9.173360e-09 1.325380e-14 9.858720e-09 9.304150e+02 5.209540e-01 1.777780e+00 2.568550e-06 1.000000e+00
9.487970e-09 1.407210e-14 1.019680e-08 9.304150e+02 5.211790e-01 1.775730e+00 2.633670e-06 1.000000e+00
9.813680e-09 1.494090e-14 1.054690e-08 9.304150e+02 5.214080e-01 1.773710e+00 2.700390e-06 1.000000e+00
1.015100e-08 1.586330e-14 1.090940e-08 9.304150e+02 5.216430e-01 1.771720e+00 2.768730e-06 1.000000e+00
1.050040e-08 1.684280e-14 1.128490e-08 9.304150e+02 5.218830e-01 1.769760e+00 2.838730e-06 1.000000e+00
1.086210e-08 1.788270e-14 1.167360e-08 9.304150e+02 5.221290e-01 1.767820e+00 2.910430e-06 1.000000e+00
1.123670e-08 1.898680e-14 1.207620e-08 9.304150e+02 5.223810e-01 1.765910e+00 2.983870e-06 1.000000e+00
1.162470e-08 2.015910e-14 1.249320e-08 9.304150e+02 5.226380e-01 1.764020e+00 3.059090e-06 1.000000e+00
1.202650e-08 2.140370e-14 1.292500e-08 9.304150e+02 5.229020e-01 1.762160e+00 3.136130e-06 1.000000e+00
1.244260e-08 2.272520e-14 1.337220e-08 9.304160e+02 5.231720e-01 1.760320e+00 3.215030e-06 1.000000e+00
1.287360e-08 2.412820e-14 1.383540e-08 9.304160e+02 5.234480e-01 1.758500e+00 3.295840e-06 1.000000e+00
1.332000e-08 2.561790e-14 1.431520e-08 9.304160e+02 5.237300e-01 1.756700e+00 3.378600e-06 1.000000e+00
1.378230e-08 2.719960e-14 1.481200e-08 9.304160e+02 5.240200e-01 1.754920e+00 3.463360e-06 1.000000e+00
1.426120e-08 2.887900e-14 1.532670e-08 9.304160e+02 5.243160e-01 1.753170e+00 3.550160e-06 1.000000e+00
1.475720e-08 3.066200e-14 1.585980e-08 9.304160e+02 5.246190e-01 1.751430e+00 3.639040e-06 1.000000e+00
1.527100e-08 3.255510e-14 1.641190e-08 9.304160e+02 5.249290e-01 1.749710e+00 3.730070e-06 1.000000e+00
1.580320e-08 3.456510e-14 1.698390e-08 9.304160e+02 5.252460e-01 1.748010e+00 3.823270e-06 1.000000e+00
1.635450e-08 3.669910e-14 1.757640e-08 9.304170e+02 5.255710e-01 1.746320e+00 3.918710e-06 1.000000e+00
1.692560e-08 3.896500e-14 1.819010e-08 9.304170e+02 5.259040e-01 1.744660e+00 4.016430e-06 1.000000e+00
1.751720e-08 4.137080e-14 1.882590e-08 9.304170e+02 5.262440e-01 1.743010e+00 4.116510e-06 1.000000e+00
1.813000e-08 4.392500e-14 1.948450e-08 9.304170e+02 5.265920e-01 1.741370e+00 4.218960e-06 1.000000e+00
1.876500e-08 4.663700e-14 2.016690e-08 9.304170e+02 5.269490e-01 1.739760e+00 4.323850e-06 1.000000e+00
1.942270e-08 4.951650e-14 2.087380e-08 9.304170e+02 5.273140e-01 1.738150e+00 4.431260e-06 1.000000e+00
2.010410e-08 5.257370e-14 2.160610e-08 9.304170e+02 5.276870e-01 1.736560e+00 4.541220e-06 1.000000e+00
2.081010e-08 5.581970e-14 2.236490e-08 9.304180e+02 5.280690e-01 1.734980e+00 4.653790e-06 1.000000e+00
2.154160e-08 5.926600e-14 2.315100e-08 9.304180e+02 5.284600e-01 1.733420e+00 4.769020e-06 1.000000e+00
2.229950e-08 6.292510e-14 2.396550e-08 9.304180e+02 5.288610e-01 1.731860e+00 4.887000e-06 1.000000e+00
2.308480e-08 6.681050e-14 2.480940e-08 9.304180e+02 5.292700e-01 1.730320e+00 5.007780e-06 1.000000e+00
2.389840e-08 7.093490e-14 2.568380e-08 9.304180e+02 5.296900e-01 1.728800e+00 5.131370e-06 1.000000e+00
2.474150e-08 7.531460e-14 2.658990e-08 9.304180e+02 5.301190e-01 1.727280e+00 5.257930e-06 1.000000e+00
2.561510e-08 7.996470e-14 2.752880e-08 9.304180e+02 5.305580e-01 1.725770e+00 5.387450e-06 1.000000e+00
2.652030e-08 8.490190e-14 2.850160e-08 9.304190e+02 5.310080e-01 1.724270e+00 5.520040e-06 1.000000e+00
