e p cs2 n/n0 gamma
1.18300e-10 3.63200e-18 6.53310e-08 7.93700e-13 2.12793e+00
6.41600e-10 1.18600e-16 3.05030e-07 4.33100e-12 1.65015e+00
5.82500e-09 6.08100e-15 1.77270e-06 3.93400e-11 1.69807e+00
1.46300e-08 3.10000e-14 3.57790e-06 9.88100e-11 1.68854e+00
3.67500e-08 1.51700e-13 6.80880e-06 2.48300e-10 1.64947e+00
9.22800e-08 7.18300e-13 1.25330e-05 6.23500e-10 1.61013e+00
2.31900e-07 3.28600e-12 2.22380e-05 1.56600e-09 1.56941e+00
5.82500e-07 1.44700e-11 3.78260e-05 3.93400e-09 1.52275e+00
1.46300e-06 6.08800e-11 6.12710e-05 9.88100e-09 1.47246e+00
3.67600e-06 2.44100e-10 8.67380e-05 2.48300e-08 1.30631e+00
4.62700e-06 3.28200e-10 9.43770e-05 3.12500e-08 1.33063e+00
9.23300e-06 8.95500e-10 1.36430e-04 6.23500e-08 1.40679e+00
1.84200e-05 2.39200e-09 1.79240e-04 1.24400e-07 1.38045e+00
3.67600e-05 6.27800e-09 2.32080e-04 2.48200e-07 1.35915e+00
7.33700e-05 1.62500e-08 2.97610e-04 4.95300e-07 1.34403e+00
1.46400e-04 4.16600e-08 3.42430e-04 9.88100e-07 1.20370e+00
1.84300e-04 5.45300e-08 3.64940e-04 1.24400e-06 1.23379e+00
2.92200e-04 1.01700e-07 4.65670e-04 1.97200e-06 1.33841e+00
4.63100e-04 1.89000e-07 5.47350e-04 3.12500e-06 1.34170e+00
5.83000e-04 2.57700e-07 4.85130e-04 3.93400e-06 1.09800e+00
7.34200e-04 3.14300e-07 4.73370e-04 4.95200e-06 1.10626e+00
9.24500e-04 4.28100e-07 6.18470e-04 6.23500e-06 1.33623e+00
1.46500e-03 7.93800e-07 7.19700e-04 9.88100e-06 1.32896e+00
2.32300e-03 1.47000e-06 8.39360e-04 1.56600e-05 1.32726e+00
3.68300e-03 2.72200e-06 8.79160e-04 2.48200e-05 1.19043e+00
4.63700e-03 3.53300e-06 9.44240e-04 3.12500e-05 1.24024e+00
5.83600e-03 4.80700e-06 1.09780e-03 3.93400e-05 1.33390e+00
7.35300e-03 6.54000e-06 1.18410e-03 4.95200e-05 1.33248e+00
9.25600e-03 8.89300e-06 1.27770e-03 6.23500e-05 1.33113e+00
1.16600e-02 1.20900e-05 1.25850e-03 7.85000e-05 1.21500e+00
1.46800e-02 1.56200e-05 1.30620e-03 9.88100e-05 1.22890e+00
1.84800e-02 2.12400e-05 1.52880e-03 1.24400e-04 1.33167e+00
2.32800e-02 2.88800e-05 1.09570e-03 1.56600e-04 8.84333e-01
2.93100e-02 3.17300e-05 1.35290e-03 1.97200e-04 1.25107e+00
3.69200e-02 5.04800e-05 2.21350e-03 2.48200e-04 1.62112e+00
4.64900e-02 6.86500e-05 1.96530e-03 3.12500e-04 1.33287e+00
5.85200e-02 9.33000e-05 2.11770e-03 3.93400e-04 1.33039e+00
7.37600e-02 1.26900e-04 2.04490e-03 4.95300e-04 1.19063e+00
9.28400e-02 1.62100e-04 1.83450e-03 6.23500e-04 1.05251e+00
1.02900e-01 1.80500e-04 1.80490e-03 6.90600e-04 1.03075e+00
1.16900e-01 2.05300e-04 1.97830e-03 7.85000e-04 1.12844e+00
1.47300e-01 2.79100e-04 2.32510e-03 9.88100e-04 1.22944e+00
1.85500e-01 3.63000e-04 2.23310e-03 1.24400e-03 1.14339e+00
2.39800e-01 4.87100e-04 8.30110e-04 1.60800e-03 4.09494e-01
2.48800e-01 4.92400e-04 6.03180e-04 1.66900e-03 3.05378e-01
2.91700e-01 5.21200e-04 6.47410e-04 1.95400e-03 3.62983e-01
3.68800e-01 5.67800e-04 6.04860e-04 2.46900e-03 3.93476e-01
4.44300e-01 6.13500e-04 6.17820e-04 2.97400e-03 4.48046e-01
5.42700e-01 6.75900e-04 6.52510e-04 3.63300e-03 5.24572e-01
6.67300e-01 7.60100e-04 7.03050e-04 4.46400e-03 6.17918e-01
3.76200e+00 5.79900e-03 1.72020e-03 2.50000e-02 1.11767e+00
