e  p
1.4708978199999999E-008 3.1000543000000004E-014
3.6940176000000002E-008 1.5172703700000002E-013
9.2784566000000007E-008 7.1847852999999998E-013
2.3304673000000001E-007 3.2875178000000001E-012
5.8567544000000002E-007 1.4468235600000000E-011
1.4708978200000001E-006 6.0876305000000007E-011
3.6959909000000003E-006 2.4409721000000005E-010
4.6530414000000004E-006 3.2815979000000003E-010
9.2843765000000011E-006 8.9568087000000000E-010
1.8523367100000001E-005 2.3916396000000001E-009
3.6959909000000003E-005 6.2790406000000000E-009
7.3761954000000011E-005 1.6252098800000001E-008
1.4718844700000000E-004 4.1676096000000006E-008
1.8533233600000003E-004 5.4542012000000003E-008
2.9382437000000002E-004 1.0166441600000002E-007
4.6569880000000001E-004 1.8906187300000002E-007
5.8626743000000003E-004 2.5771298000000001E-007
7.3821153000000006E-004 3.1434669000000002E-007
9.2942429999999998E-004 4.2820610000000003E-007
1.4730684500000001E-003 7.9385859000000006E-007
2.3363872000000002E-003 1.4705031600000000E-006
3.7038841000000006E-003 2.7231540000000000E-006
4.6629078999999999E-003 3.5341803000000001E-006
5.8666209000000011E-003 4.8069588000000004E-006
7.3939551000000003E-003 6.5414895000000013E-006
9.3060828000000005E-003 8.8936630999999996E-006
1.1723375300000002E-002 1.2096329000000001E-005
1.4758310699999999E-002 1.5790346599999999E-005
1.8584539399999999E-002 2.1252441000000002E-005
2.3403337999999999E-002 2.8889112000000000E-005
2.9481102000000002E-002 3.7137506000000005E-005
3.7117773000000000E-002 5.0496747000000002E-005
4.6747477000000003E-002 6.8651106999999996E-005
5.8843805999999999E-002 9.3317357000000011E-005
7.4156613999999996E-002 1.2688319000000002E-004
9.3337090000000011E-002 1.6208686200000000E-004
0.10344038600000000 1.8049775100000001E-004
0.11756921400000001 2.0542053000000002E-004
0.14809616500000000 2.7922195000000001E-004
0.18651631600000002 3.6308720000000002E-004
0.23502003000000002 4.7043472000000004E-004
0.24113726000000002 4.8720777000000004E-004
0.25021444000000004 4.9253567999999999E-004
0.29323238000000001 5.2134586000000002E-004
0.37078307000000005 5.6791573999999997E-004
0.44675512000000001 6.1369630000000005E-004
0.54561745000000006 6.7585525000000003E-004
0.67092200000000002 7.6011516000000002E-004
0.82523405999999999 8.7318525000000004E-004
1.0125002300000001 1.0223667300000001E-003
1.2352858000000000 1.2171314400000002E-003
1.6435615699999999 1.6177113400000001E-003
2.1508970000000001 2.1883897000000005E-003
2.7665666000000000 2.9777097000000001E-003
3.5045808000000007 4.0452650000000001E-003
4.3767794000000002 5.4601211000000005E-003
5.3910556000000005 7.3031833000000001E-003
6.9894286000000001 1.0578861300000001E-002
8.3924449000000010 1.3787447099999999E-002
141.12232714847406 4.9164656849608983     
150.47687432562805 5.7040033485272321     
158.98699619339592 6.4900726898453183     
166.86763811359293 7.2789335864452740     
174.25627849321333 8.0730314677116954     
181.24727432731137 8.8738562787120880     
187.90879875732637 9.6823513632726446     
194.29207552802390 10.499128593709781     
200.43680289304132 11.324590224135767     
206.37452850811604 12.159001901644373     
212.13084846555219 13.002538378545269     
217.72689529983734 13.855313150644379     
223.18037712095395 14.717398216601595     
228.50632295966452 15.588837545223647     
233.71762983077832 16.469656411623077     
238.82547238918252 17.359867950179698     
243.83961514672546 18.259477790123306     
248.76865418750120 19.168487344617631     
253.62020694361081 20.086896139163354     
258.40106310594041 21.014703445522041     
263.11730602126846 21.951909407430918     
267.77441139461615 22.898515793095001     
272.37732833083328 23.854526469920501     
276.93054648511702 24.819947674211438     
281.43815217896901 25.794788128634476     
285.90387566999675 26.779059047688211     
290.33113126909137 27.772774061704446     
294.72305163175264 28.775949084027896     
299.08251723758366 29.788602130375502     
303.41218196950285 30.810753131201437     
307.71449531449895 31.842423702880172     
311.99172185930308 32.883636930885316     
316.24595842929762 33.934417144362293     
320.47914925148928 34.994789695902583     
324.69309942712556 36.064780748851526     
328.88948695298041 37.144417074806540     
333.06987348973081 38.233725863190998     
337.23571404297235 39.332734544173135     
341.38836569575415 40.441470625706600     
345.52909550969889 41.559961545074792     
349.65908769391075 42.688234535013748     
353.77945012610263 43.826316504234832     
357.89122029820993 44.974233931982781     
361.99537074858597 46.132012776120085     
366.09281403441048 47.299678394110252     
370.18440729084108 48.477255476201833     
374.27095641747582 49.664767990058976     
378.35321992763198 50.862239136050171     
382.43191249166591 52.069691312394006     
386.50770820390710 53.287146090012953     
390.58124358162507 54.514624190841737     
394.65312037460808 55.752145488466923     
398.72390808573670 56.999728988599166     
402.79414638146369 58.257392845731047     
406.86434726414512 59.525154364172607     
410.93499710179822 60.803030011798732     
415.00655850163139 62.091035436423745     
419.07947204280578 63.389185485554805     
423.15415787979379 64.697494229161279     
427.23101722431124 66.015974984463057     
431.31043371714355 67.344640342928358     
435.39277469660192 68.683502198630805     
439.47839237155540 70.032571777682477     
443.56762490616035 71.391859668426903     
447.66079742272979 72.761375852064234     
451.75822292876052 74.141129733438092     
455.86020317368940 75.531130171736109     
459.96702944057347 76.931385510898153     
464.07898327751320 78.341903609547757     
468.19633717328912 79.762691870288876     
472.31935518141705 81.193757268246941     
476.44829349649154 82.635106378736310     
