# Baryon mu [GeV]	Pressure[MeV/fm^3]	Energy Dens.[MeV/fm^3]	Baryon Dens.[n0](n0=0.16fm^-3)
-			666.5			1345			7.0
-			638.4			1317			6.9
-			611			1289			6.8
-			584.4			1261			6.7
-			558.6			1233			6.6
-			533.6			1206			6.5
-			509.3			1180			6.4
-			485.8			1154			6.3
-			463.1			1128			6.2
-			441.1			1102			6.1
-			419.7			1077			6.0
-			399			1052			5.9
-			379.1			1028			5.8
-			359.8			1004			5.7
-			341.2			980.6			5.6
-			323.2			957.1			5.5
-			305.9			934			5.4
-			289.2			911.2			5.3
-			273.2			888.7			5.2
-			257.7			866.5			5.1
-			242.8			844.6			5.0
-			228.6			823			4.9
-			214.9			801.7			4.8
-			201.7			780.6			4.7
-			189.1			759.9			4.6
-			177.0			739.4			4.5
-			165.5			719.1			4.4
-			154.5			699.2			4.3
-			143.9			679.4			4.2
-			133.9			659.9			4.1
-			124.3			640.7			4.0
-			106.8			621.8			3.9
-			91.41			603.3			3.8
-			77.90			585.2			3.7
-			66.09			567.5			3.6
-			55.81			550			3.5
-			46.90			532.8			3.4
-			39.21			515.9			3.3
-			32.60			499.2			3.2
-			26.94			482.7			3.1	
-			22.13			466.3			3.0
-			18.06			450.1			2.9
-			14.63			434			2.8
-			11.76			418			2.7
-			9.379			402.2			2.6
-			7.413			386.4			2.5
-			6.972			370.6			2.4
-			6.541			354.9			2.3
-			6.119			339.2			2.2
-			5.707			323.5			2.1
-			5.304			307.9			2.0
-			4.911			292.2			1.9
-			4.529			276.6			1.8
-			4.157			261			1.7
-			3.795			245.4			1.6
-			3.445			229.8			1.5
-			3.106			214.3			1.4
-			2.780			198.8			1.3
-			2.465			183.3			1.2
-			2.163			167.8			1.1
-			1.851			158			1.0371
-			1.464			144.4			0.9483
-			1.154			131.5			0.8646
-			0.9094			119.5			0.7861
-			0.7162			108.2			0.7124
-			0.4470			87.90			0.5792
-			4.054e-1		75.81			5.000e-1
-			3.713e-1		72			4.750e-1
-			3.385e-1		68.19			4.500e-1
-			3.073e-1		64.38			4.250e-1
-			2.777e-1		60.58			4.000e-1
-			2.497e-1		56.78			3.750e-1
-			2.231e-1		52.98			3.500e-1
-			1.980e-1		49.18			3.250e-1
-			1.742e-1		45.38			3.000e-1
-			1.518e-1		41.58			2.750e-1
-			1.308e-1		37.79			2.500e-1
-			1.110e-1		34			2.250e-1
-			9.260e-2		30.21			2.000e-1
-			7.544e-2		26.42			1.750e-1
-			5.961e-2		22.64			1.500e-1
-			4.515e-2		18.86			1.250e-1
-			3.216e-2		15.08			1.000e-1
-			2.085e-2		11.30			7.500e-2
-			1.166e-2		7.530			5.000e-2
-			5.799e-3		3.762			2.500e-2
-			5.944e-4		9.390e-1		6.250e-3
-			8.731e-4		8.207e-1		5.491e-3
-			7.601e-4		6.673e-1		4.464e-3
-			6.759e-4		5.427e-1		3.633e-3
-			6.135e-4		4.443e-1		2.974e-3
-			5.678e-4		3.688e-1		2.469e-3		
-			5.212e-4		2.917e-1		1.954e-3
-			4.924e-4		2.488e-1		1.669e-3
-			4.871e-4		2.398e-1		1.608e-3
-			3.630e-4		1.855e-1		1.244e-3
-			2.791e-4		1.473e-1		9.881e-4
-			2.053e-4		1.169e-1		7.850e-4
-			1.805e-4		1.029e-1		6.906e-4
-			1.621e-4		9.284e-2		6.235e-4
-			1.269e-4		7.376e-2		4.953e-4
-			9.330e-5		5.852e-2		3.934e-4
-			6.865e-5		4.649e-2		3.125e-4
-			5.048e-5		3.692e-2		2.482e-4
-			3.173e-5		2.931e-2		1.972e-4
-			2.888e-5		2.328e-2		1.566e-4
-			2.124e-5		1.848e-2		1.244e-4
-			1.562e-5		1.468e-2		9.881e-5
-			1.209e-5		1.166e-2		7.850e-5
-			8.893e-6		9.256e-3		6.235e-5
-			6.540e-6		7.353e-3		4.952e-5
-			4.807e-6		5.836e-3		3.934e-5
-			3.533e-6		4.637e-3		3.125e-5
-			2.722e-6		3.683e-3		2.482e-5
-			1.470e-6		2.323e-3		1.566e-5	
-			7.938e-7		1.465e-3		9.881e-6
-			4.281e-7		9.245e-4		6.235e-6
-			3.143e-7		7.342e-4		4.952e-6
-			2.577e-7		5.830e-4		3.934e-6
-			1.890e-7		4.631e-4		3.125e-6
-			1.017e-7		2.922e-4		1.972e-6
-			5.453e-8		1.843e-4		1.244e-6
-			4.166e-8		1.464e-4		9.881e-7
-			1.625e-8		7.337e-5		4.953e-7
-			6.278e-9		3.676e-5		2.482e-7
-			2.392e-9		1.842e-5		1.244e-7
-			8.955e-10		9.233e-6		6.235e-8
-			3.282e-10		4.627e-6		3.125e-8
-			2.441e-10		3.676e-6		2.483e-8
-			6.088e-11		1.463e-6		9.881e-9
-			1.447e-11		5.825e-7		3.934e-9
-			3.286e-12		2.319e-7		1.566e-9
-			7.183e-13		9.228e-8		6.235e-10
-			1.517e-13		3.675e-8		2.483e-10
-			3.100e-14		1.463e-8		9.881e-11
-			6.081e-15		5.825e-9		3.934e-11
-			1.186e-16		6.416e-10		4.331e-12
-			3.632e-18		1.183e-10		7.937e-13
-			1.061e-19		2.516e-11		1.700e-13
-			8.737e-21		9.150e-12		6.187e-14
-			7.551e-22		6.472e-12		4.369e-14
-			6.303e-23		4.547e-12		3.069e-14
-			6.303e-24		4.407e-12		2.975e-14
-			6.303e-25		4.385e-12		2.956e-14
