p e n
3.6320000e-18 1.1830000e-10 1.2699200e-13
1.1860000e-16 6.4160000e-10 6.9296000e-13
6.0810000e-15 5.8250000e-09 6.2944000e-12
3.1000000e-14 1.4630000e-08 1.5809600e-11
1.5170000e-13 3.6750000e-08 3.9728000e-11
7.1830000e-13 9.2280000e-08 9.9760000e-11
3.2860000e-12 2.3190000e-07 2.5056000e-10
1.4470000e-11 5.8250000e-07 6.2944000e-10
6.0880000e-11 1.4630000e-06 1.5809600e-09
2.4410000e-10 3.6760000e-06 3.9728000e-09
3.2820000e-10 4.6270000e-06 5.0000000e-09
8.9550000e-10 9.2330000e-06 9.9760000e-09
2.3920000e-09 1.8420000e-05 1.9904000e-08
6.2780000e-09 3.6760000e-05 3.9712000e-08
1.6250000e-08 7.3370000e-05 7.9248000e-08
4.1660000e-08 1.4640000e-04 1.5809600e-07
5.4530000e-08 1.8430000e-04 1.9904000e-07
1.0170000e-07 2.9220000e-04 3.1552000e-07
1.8900000e-07 4.6310000e-04 5.0000000e-07
2.5770000e-07 5.8300000e-04 6.2944000e-07
3.1430000e-07 7.3420000e-04 7.9232000e-07
4.2810000e-07 9.2450000e-04 9.9760000e-07
7.9380000e-07 1.4650000e-03 1.5809600e-06
1.4700000e-06 2.3230000e-03 2.5056000e-06
2.7220000e-06 3.6830000e-03 3.9712000e-06
3.5330000e-06 4.6370000e-03 5.0000000e-06
4.8070000e-06 5.8360000e-03 6.2944000e-06
6.5400000e-06 7.3530000e-03 7.9232000e-06
8.8930000e-06 9.2560000e-03 9.9760000e-06
1.2090000e-05 1.1660000e-02 1.2560000e-05
1.5620000e-05 1.4680000e-02 1.5809600e-05
2.1240000e-05 1.8480000e-02 1.9904000e-05
2.8880000e-05 2.3280000e-02 2.5056000e-05
3.1730000e-05 2.9310000e-02 3.1552000e-05
5.0480000e-05 3.6920000e-02 3.9712000e-05
6.8650000e-05 4.6490000e-02 5.0000000e-05
9.3300000e-05 5.8520000e-02 6.2944000e-05
1.2690000e-04 7.3760000e-02 7.9248000e-05
1.6210000e-04 9.2840000e-02 9.9760000e-05
1.8050000e-04 1.0290000e-01 1.1049600e-04
2.0530000e-04 1.1690000e-01 1.2560000e-04
2.7910000e-04 1.4730000e-01 1.5809600e-04
3.6300000e-04 1.8550000e-01 1.9904000e-04
4.8710000e-04 2.3980000e-01 2.5728000e-04
4.9240000e-04 2.4880000e-01 2.6704000e-04
5.2120000e-04 2.9170000e-01 3.1264000e-04
5.6780000e-04 3.6880000e-01 3.9504000e-04
6.1350000e-04 4.4430000e-01 4.7584000e-04
6.7590000e-04 5.4270000e-01 5.8128000e-04
7.6010000e-04 6.6730000e-01 7.1424000e-04
8.7310000e-04 8.2070000e-01 8.7856000e-04
5.7990000e-03 3.7620000e+00 4.0000000e-03
1.1660000e-02 7.5300000e+00 8.0000000e-03
2.0850000e-02 1.1300000e+01 1.2000000e-02
3.2160000e-02 1.5080000e+01 1.6000000e-02
4.5150000e-02 1.8860000e+01 2.0000000e-02
5.9610000e-02 2.2640000e+01 2.4000000e-02
7.5440000e-02 2.6420000e+01 2.8000000e-02
9.2600000e-02 3.0210000e+01 3.2000000e-02
1.1100000e-01 3.4000000e+01 3.6000000e-02
1.3080000e-01 3.7790000e+01 4.0000000e-02
1.5180000e-01 4.1580000e+01 4.4000000e-02
1.7420000e-01 4.5380000e+01 4.8000000e-02
1.9800000e-01 4.9180000e+01 5.2000000e-02
2.2310000e-01 5.2980000e+01 5.6000000e-02
2.4970000e-01 5.6780000e+01 6.0000000e-02
2.7770000e-01 6.0580000e+01 6.4000000e-02
3.0730000e-01 6.4380000e+01 6.8000000e-02
3.3850000e-01 6.8190000e+01 7.2000000e-02
3.7130000e-01 7.2000000e+01 7.6000000e-02
4.0540000e-01 7.5810000e+01 8.0000000e-02
4.4700000e-01 8.7900000e+01 9.2672000e-02
7.1620000e-01 1.0820000e+02 1.1398400e-01
9.0940000e-01 1.1950000e+02 1.2577600e-01
1.1540000e+00 1.3150000e+02 1.3833600e-01
1.4640000e+00 1.4440000e+02 1.5172800e-01
1.8510000e+00 1.5800000e+02 1.6593600e-01
2.1630000e+00 1.6780000e+02 1.7600000e-01
3.0640000e+00 1.8330000e+02 1.9200000e-01
4.2200000e+00 1.9890000e+02 2.0800000e-01
5.6770000e+00 2.1460000e+02 2.2400000e-01
7.4810000e+00 2.3030000e+02 2.4000000e-01
9.6840000e+00 2.4630000e+02 2.5600000e-01
1.2340000e+01 2.6230000e+02 2.7200000e-01
1.5510000e+01 2.7860000e+02 2.8800000e-01
1.9250000e+01 2.9500000e+02 3.0400000e-01
2.3640000e+01 3.1170000e+02 3.2000000e-01
2.8730000e+01 3.2860000e+02 3.3600000e-01
3.4610000e+01 3.4570000e+02 3.5200000e-01
4.1350000e+01 3.6320000e+02 3.6800000e-01
4.9020000e+01 3.8090000e+02 3.8400000e-01
5.7720000e+01 3.9900000e+02 4.0000000e-01
6.7520000e+01 4.1740000e+02 4.1600000e-01
7.8530000e+01 4.3630000e+02 4.3200000e-01
9.0820000e+01 4.5560000e+02 4.4800000e-01
1.0450000e+02 4.7530000e+02 4.6400000e-01
1.1960000e+02 4.9560000e+02 4.8000000e-01
1.3200000e+02 5.1630000e+02 4.9600000e-01
1.4520000e+02 5.3740000e+02 5.1200000e-01
1.5930000e+02 5.5900000e+02 5.2800000e-01
1.7420000e+02 5.8100000e+02 5.4400000e-01
1.9000000e+02 6.0340000e+02 5.6000000e-01
2.0680000e+02 6.2630000e+02 5.7600000e-01
2.2450000e+02 6.4970000e+02 5.9200000e-01
2.4320000e+02 6.7360000e+02 6.0800000e-01
2.6290000e+02 6.9800000e+02 6.2400000e-01
2.8370000e+02 7.2290000e+02 6.4000000e-01
