e p cs2
0.3024E-07 0.1094E-12 0.6249E-05
0.3521E-07 0.1422E-12 0.6950E-05
0.4102E-07 0.1849E-12 0.7722E-05
0.4783E-07 0.2403E-12 0.8574E-05
0.5580E-07 0.3124E-12 0.9512E-05
0.6514E-07 0.4062E-12 0.1054E-04
0.7610E-07 0.5280E-12 0.1168E-04
0.8897E-07 0.6864E-12 0.1292E-04
0.1041E-06 0.8924E-12 0.1428E-04
0.1219E-06 0.1160E-11 0.1578E-04
0.1429E-06 0.1508E-11 0.1741E-04
0.1676E-06 0.1961E-11 0.1919E-04
0.1967E-06 0.2549E-11 0.2113E-04
0.2312E-06 0.3313E-11 0.2325E-04
0.2719E-06 0.4307E-11 0.2554E-04
0.3201E-06 0.5599E-11 0.2804E-04
0.3772E-06 0.7279E-11 0.3075E-04
0.4449E-06 0.9463E-11 0.3369E-04
0.5253E-06 0.1230E-10 0.3686E-04
0.6209E-06 0.1599E-10 0.4030E-04
0.7347E-06 0.2079E-10 0.4400E-04
0.8702E-06 0.2703E-10 0.4799E-04
0.1032E-05 0.3514E-10 0.5229E-04
0.1225E-05 0.4568E-10 0.5690E-04
0.1455E-05 0.5938E-10 0.6186E-04
0.1731E-05 0.7719E-10 0.6718E-04
0.2062E-05 0.1004E-09 0.7287E-04
0.2458E-05 0.1305E-09 0.7897E-04
0.2934E-05 0.1696E-09 0.8548E-04
0.3505E-05 0.2205E-09 0.9243E-04
0.4193E-05 0.2866E-09 0.9984E-04
0.5020E-05 0.3726E-09 0.1077E-03
0.6018E-05 0.4844E-09 0.1161E-03
0.7222E-05 0.6297E-09 0.1251E-03
0.8676E-05 0.8186E-09 0.1346E-03
0.1043E-04 0.1064E-08 0.1446E-03
0.1256E-04 0.1383E-08 0.1553E-03
0.1514E-04 0.1798E-08 0.1667E-03
0.1826E-04 0.2338E-08 0.1787E-03
0.2205E-04 0.3039E-08 0.1914E-03
0.2664E-04 0.3951E-08 0.2049E-03
0.3223E-04 0.5137E-08 0.2191E-03
0.3903E-04 0.6678E-08 0.2341E-03
0.4730E-04 0.8681E-08 0.2500E-03
0.5736E-04 0.1129E-07 0.2669E-03
0.6963E-04 0.1467E-07 0.2846E-03
0.8459E-04 0.1907E-07 0.3034E-03
0.1028E-03 0.2479E-07 0.3232E-03
0.1251E-03 0.3223E-07 0.3441E-03
0.1523E-03 0.4190E-07 0.3662E-03
0.1856E-03 0.5447E-07 0.3896E-03
0.2262E-03 0.7081E-07 0.4142E-03
0.2759E-03 0.9206E-07 0.4403E-03
0.3367E-03 0.1197E-06 0.4678E-03
0.4110E-03 0.1556E-06 0.4968E-03
0.5021E-03 0.2022E-06 0.5275E-03
0.6136E-03 0.2629E-06 0.5599E-03
0.7502E-03 0.3418E-06 0.5941E-03
0.9176E-03 0.4443E-06 0.6303E-03
0.1123E-02 0.5776E-06 0.6684E-03
0.1374E-02 0.7509E-06 0.7087E-03
0.1683E-02 0.9762E-06 0.7513E-03
0.2061E-02 0.1269E-05 0.7962E-03
0.2525E-02 0.1650E-05 0.8435E-03
0.3094E-02 0.2145E-05 0.8934E-03
0.3793E-02 0.2788E-05 0.9460E-03
0.4652E-02 0.3625E-05 0.1001E-02
0.5706E-02 0.4712E-05 0.1059E-02
0.7003E-02 0.6126E-05 0.1120E-02
0.8596E-02 0.7963E-05 0.1184E-02
0.1056E-01 0.1035E-04 0.1251E-02
0.1297E-01 0.1346E-04 0.1321E-02
0.1594E-01 0.1750E-04 0.1393E-02
0.1961E-01 0.2274E-04 0.1468E-02
0.2413E-01 0.2957E-04 0.1546E-02
0.2972E-01 0.3844E-04 0.1626E-02
0.3664E-01 0.4997E-04 0.1707E-02
0.4520E-01 0.6496E-04 0.1791E-02
0.5583E-01 0.8445E-04 0.1875E-02
0.6903E-01 0.1098E-03 0.1960E-02
0.8547E-01 0.1427E-03 0.2044E-02
0.1060E+00 0.1855E-03 0.2127E-02
0.1316E+00 0.2412E-03 0.2208E-02
0.1638E+00 0.3135E-03 0.2285E-02
0.2043E+00 0.4076E-03 0.2358E-02
0.3000E+00 0.5299E-03 0.6324E-03
0.5482E+00 0.6889E-03 0.6667E-03
0.8351E+00 0.8955E-03 0.7796E-03
0.1152E+01 0.1164E-02 0.9137E-03
0.1509E+01 0.1513E-02 0.1037E-02
0.1923E+01 0.1967E-02 0.1152E-02
0.2410E+01 0.2558E-02 0.1274E-02
0.2980E+01 0.3325E-02 0.1419E-02
0.3643E+01 0.4322E-02 0.1586E-02
0.4417E+01 0.5619E-02 0.1758E-02
0.1060E+02 0.7305E-02 0.4941E-03
0.1460E+02 0.9496E-02 0.6412E-03
0.1803E+02 0.1235E-01 0.1106E-02
0.2064E+02 0.1605E-01 0.1679E-02
0.2339E+02 0.2086E-01 0.1851E-02
0.2560E+02 0.2712E-01 0.2996E-02
0.2807E+02 0.3526E-01 0.3617E-02
0.3071E+02 0.4584E-01 0.4415E-02
0.3352E+02 0.5959E-01 0.5419E-02
0.3649E+02 0.7747E-01 0.6651E-02
0.3964E+02 0.1007E+00 0.8131E-02
0.4300E+02 0.1309E+00 0.9870E-02
0.4661E+02 0.1702E+00 0.1187E-01
0.5054E+02 0.2212E+00 0.1415E-01
0.5484E+02 0.2876E+00 0.1672E-01
0.5960E+02 0.3739E+00 0.1960E-01
0.6488E+02 0.4861E+00 0.2285E-01
0.7079E+02 0.6319E+00 0.2655E-01
0.7740E+02 0.8215E+00 0.3080E-01
0.8481E+02 0.1068E+01 0.3575E-01
0.8772E+02 0.1175E+01 0.3775E-01
0.9074E+02 0.1292E+01 0.3989E-01
0.9390E+02 0.1421E+01 0.4216E-01
0.9717E+02 0.1564E+01 0.4458E-01
0.1006E+03 0.1720E+01 0.4717E-01
0.1041E+03 0.1892E+01 0.4994E-01
0.1078E+03 0.2081E+01 0.5291E-01
0.1116E+03 0.2289E+01 0.5609E-01
0.1156E+03 0.2518E+01 0.5952E-01
0.1197E+03 0.2770E+01 0.6320E-01
0.1239E+03 0.3047E+01 0.6716E-01
0.1283E+03 0.3352E+01 0.7144E-01
0.1329E+03 0.3687E+01 0.7605E-01
0.1376E+03 0.4055E+01 0.8103E-01
0.1424E+03 0.4461E+01 0.8641E-01
0.1474E+03 0.4907E+01 0.9223E-01
0.1526E+03 0.5398E+01 0.9852E-01
0.1579E+03 0.5938E+01 0.1053E+00
0.1633E+03 0.6531E+01 0.1127E+00
0.1689E+03 0.7184E+01 0.1207E+00
0.1747E+03 0.7903E+01 0.1293E+00
0.1806E+03 0.8693E+01 0.1386E+00
0.1866E+03 0.9563E+01 0.1487E+00
0.1928E+03 0.1052E+02 0.1596E+00
0.1992E+03 0.1157E+02 0.1713E+00
0.2057E+03 0.1273E+02 0.1840E+00
0.2124E+03 0.1400E+02 0.1976E+00
0.2192E+03 0.1540E+02 0.2121E+00
0.2262E+03 0.1694E+02 0.2277E+00
0.2334E+03 0.1863E+02 0.2443E+00
0.2407E+03 0.2050E+02 0.2620E+00
0.2483E+03 0.2255E+02 0.2807E+00
0.2561E+03 0.2480E+02 0.3005E+00
0.2640E+03 0.2728E+02 0.3212E+00
0.2723E+03 0.3001E+02 0.3429E+00
0.2807E+03 0.3301E+02 0.3655E+00
0.2895E+03 0.3631E+02 0.3888E+00
0.2985E+03 0.3995E+02 0.4128E+00
0.3079E+03 0.4394E+02 0.4373E+00
0.3177E+03 0.4833E+02 0.4621E+00
0.3279E+03 0.5317E+02 0.4872E+00
0.3385E+03 0.5848E+02 0.5122E+00
0.3497E+03 0.6433E+02 0.5370E+00
0.3614E+03 0.7077E+02 0.5615E+00
0.3737E+03 0.7784E+02 0.5853E+00
0.3868E+03 0.8563E+02 0.6084E+00
0.4006E+03 0.9419E+02 0.6307E+00
0.4153E+03 0.1036E+03 0.6518E+00
0.4309E+03 0.1140E+03 0.6718E+00
0.4476E+03 0.1254E+03 0.6904E+00
0.4656E+03 0.1379E+03 0.7077E+00
0.4848E+03 0.1517E+03 0.7235E+00
0.5056E+03 0.1669E+03 0.7378E+00
0.5280E+03 0.1835E+03 0.7506E+00
0.5523E+03 0.2019E+03 0.7619E+00
0.5786E+03 0.2221E+03 0.7717E+00
0.6072E+03 0.2443E+03 0.7800E+00
0.6384E+03 0.2687E+03 0.7869E+00
0.6724E+03 0.2956E+03 0.7924E+00
0.7096E+03 0.3252E+03 0.7967E+00
0.7503E+03 0.3577E+03 0.7997E+00
0.7950E+03 0.3934E+03 0.8016E+00
0.8440E+03 0.4328E+03 0.8026E+00
0.8980E+03 0.4761E+03 0.8027E+00
0.9573E+03 0.5237E+03 0.8020E+00
0.1023E+04 0.5760E+03 0.8008E+00
0.1095E+04 0.6337E+03 0.7992E+00
0.1174E+04 0.6970E+03 0.7973E+00
0.1262E+04 0.7667E+03 0.7954E+00
0.1358E+04 0.8434E+03 0.7937E+00
0.1464E+04  0.9277E+03  0.7925E+00
