n e p muB cs2 gamma
8.0000000e-15 7.4495340e-12 1.9138800e-19 2.8103220e+03 3.9728820e-08 1.5463937e+00
8.5426970e-15 7.9548900e-12 2.1146520e-19 2.8103220e+03 4.0582460e-08 1.5266295e+00
9.1222100e-15 8.4945270e-12 2.3385690e-19 2.8103220e+03 4.2397750e-08 1.5400394e+00
9.7410350e-15 9.0707720e-12 2.5884450e-19 2.8103220e+03 4.4318980e-08 1.5530845e+00
1.0401840e-14 9.6861070e-12 2.8674380e-19 2.8103220e+03 4.6350840e-08 1.5657155e+00
1.1107470e-14 1.0343190e-11 3.1790940e-19 2.8103220e+03 4.8498530e-08 1.5779009e+00
1.1860970e-14 1.1044840e-11 3.5273880e-19 2.8103220e+03 5.0766460e-08 1.5895826e+00
1.2665590e-14 1.1794090e-11 3.9167740e-19 2.8103220e+03 5.3158880e-08 1.6007067e+00
1.3524780e-14 1.2594170e-11 4.3522440e-19 2.8103220e+03 5.5680780e-08 1.6112452e+00
1.4442270e-14 1.3448520e-11 4.8393790e-19 2.8103220e+03 5.8335940e-08 1.6211421e+00
1.5421990e-14 1.4360830e-11 5.3844210e-19 2.8103220e+03 6.1128040e-08 1.6303506e+00
1.6468170e-14 1.5335030e-11 5.9943380e-19 2.8103220e+03 6.4060770e-08 1.6388363e+00
1.7585330e-14 1.6375310e-11 6.6768990e-19 2.8103220e+03 6.7136270e-08 1.6465387e+00
1.8778270e-14 1.7486170e-11 7.4407560e-19 2.8103220e+03 7.0356560e-08 1.6534164e+00
2.0052130e-14 1.8672380e-11 8.2955220e-19 2.8103220e+03 7.3722860e-08 1.6594270e+00
2.1412410e-14 1.9939060e-11 9.2518660e-19 2.8103220e+03 7.7234520e-08 1.6645116e+00
2.2864970e-14 2.1291670e-11 1.0321600e-18 2.8103220e+03 8.0889500e-08 1.6686101e+00
2.4416060e-14 2.2736040e-11 1.1517750e-18 2.8103220e+03 8.4637240e-08 1.6707393e+00
2.6072380e-14 2.4278390e-11 1.2853170e-18 2.8103220e+03 8.8263820e-08 1.6672179e+00
2.7841060e-14 2.5925370e-11 1.4336410e-18 2.8103220e+03 9.1738460e-08 1.6589604e+00
2.9729720e-14 2.7684070e-11 1.5981370e-18 2.8103220e+03 9.5226750e-08 1.6495858e+00
3.1746500e-14 2.9562080e-11 1.7803710e-18 2.8103220e+03 9.8742440e-08 1.6395639e+00
3.3900090e-14 3.1567490e-11 1.9820450e-18 2.8103220e+03 1.0228330e-07 1.6290383e+00
3.6199780e-14 3.3708940e-11 2.2050090e-18 2.8103220e+03 1.0585080e-07 1.6181877e+00
3.8655470e-14 3.5995660e-11 2.4512910e-18 2.8103220e+03 1.0945440e-07 1.6072688e+00
4.1277750e-14 3.8437500e-11 2.7231330e-18 2.8103220e+03 1.1311180e-07 1.5965930e+00
4.4077910e-14 4.1044990e-11 3.0230410e-18 2.8103220e+03 1.1685430e-07 1.5865759e+00
4.7068030e-14 4.3829370e-11 3.3538680e-18 2.8103220e+03 1.2073220e-07 1.5777653e+00
5.0261000e-14 4.6802630e-11 3.7189220e-18 2.8103220e+03 1.2481830e-07 1.5708383e+00
5.3670560e-14 4.9977590e-11 4.1221290e-18 2.8103220e+03 1.2921730e-07 1.5666588e+00
5.7311420e-14 5.3367930e-11 4.5682620e-18 2.8103220e+03 1.3407570e-07 1.5663163e+00
6.1199270e-14 5.6988260e-11 5.0632720e-18 2.8103230e+03 1.3959370e-07 1.5711585e+00
6.5350850e-14 6.0854180e-11 5.6147490e-18 2.8103230e+03 1.4603940e-07 1.5828150e+00
6.9784070e-14 6.4982360e-11 6.2325630e-18 2.8103230e+03 1.5376990e-07 1.6032460e+00
7.4518030e-14 6.9390580e-11 6.9297720e-18 2.8103230e+03 1.6324950e-07 1.6346827e+00
7.9573120e-14 7.4097840e-11 7.7238070e-18 2.8103230e+03 1.7310790e-07 1.6606996e+00
8.4971130e-14 7.9124430e-11 8.6177000e-18 2.8103230e+03 1.8120180e-07 1.6637259e+00
9.0735340e-14 8.4492010e-11 9.6096250e-18 2.8103230e+03 1.8820040e-07 1.6547401e+00
9.6890570e-14 9.0223710e-11 1.0709150e-17 2.8103230e+03 1.9526020e-07 1.6450514e+00
1.0346330e-13 9.6344240e-11 1.1926650e-17 2.8103230e+03 2.0237260e-07 1.6347790e+00
1.1048200e-13 1.0288000e-10 1.3273400e-17 2.8103230e+03 2.0953770e-07 1.6240934e+00
1.1797680e-13 1.0985900e-10 1.4761690e-17 2.8103230e+03 2.1676010e-07 1.6131656e+00
1.2598000e-13 1.1731160e-10 1.6405030e-17 2.8103230e+03 2.2406810e-07 1.6023007e+00
1.3452610e-13 1.2526970e-10 1.8218460e-17 2.8103230e+03 2.3151400e-07 1.5918850e+00
1.4365200e-13 1.3376760e-10 2.0218890e-17 2.8103230e+03 2.3917120e-07 1.5823501e+00
1.5339700e-13 1.4284200e-10 2.2425740e-17 2.8103230e+03 2.4716070e-07 1.5743041e+00
1.6380300e-13 1.5253200e-10 2.4861760e-17 2.8103230e+03 2.5565770e-07 1.5685127e+00
1.7491490e-13 1.6287940e-10 2.7554250e-17 2.8103230e+03 2.6491030e-07 1.5659449e+00
1.8678070e-13 1.7392870e-10 3.0536790e-17 2.8103230e+03 2.7526090e-07 1.5678065e+00
1.9945130e-13 1.8572750e-10 3.3851700e-17 2.8103230e+03 2.8716990e-07 1.5755592e+00
2.1298150e-13 1.9832670e-10 3.7553450e-17 2.8103230e+03 3.0125470e-07 1.5909820e+00
2.2742960e-13 2.1178060e-10 4.1713480e-17 2.8103230e+03 3.1833260e-07 1.6161846e+00
2.4285780e-13 2.2614730e-10 4.6426880e-17 2.8103230e+03 3.3857510e-07 1.6492140e+00
2.5933260e-13 2.4148840e-10 5.1792950e-17 2.8103230e+03 3.5714610e-07 1.6652200e+00
2.7692500e-13 2.5787030e-10 5.7772470e-17 2.8103230e+03 3.7183150e-07 1.6596888e+00
2.9571080e-13 2.7536360e-10 6.4404500e-17 2.8103230e+03 3.8600440e-07 1.6503751e+00
3.1577100e-13 2.9404340e-10 7.1752340e-17 2.8103230e+03 4.0029080e-07 1.6404050e+00
3.3719200e-13 3.1399050e-10 7.9884660e-17 2.8103230e+03 4.1467640e-07 1.6299060e+00
3.6006610e-13 3.3529080e-10 8.8876200e-17 2.8103230e+03 4.2917200e-07 1.6190776e+00
3.8449200e-13 3.5803600e-10 9.8808790e-17 2.8103230e+03 4.4381070e-07 1.6081591e+00
4.1057490e-13 3.8232410e-10 1.0977280e-16 2.8103230e+03 4.5865870e-07 1.5974479e+00
4.3842710e-13 4.0825990e-10 1.2186910e-16 2.8103230e+03 4.7383820e-07 1.5873523e+00
4.6816880e-13 4.3595510e-10 1.3521230e-16 2.8103230e+03 4.8955010e-07 1.5784210e+00
4.9992800e-13 4.6552910e-10 1.4993540e-16 2.8103230e+03 5.0608150e-07 1.5713150e+00
5.3384170e-13 4.9710930e-10 1.6619550e-16 2.8103230e+03 5.2384220e-07 1.5668710e+00
5.7005610e-13 5.3083180e-10 1.8418340e-16 2.8103230e+03 5.4341670e-07 1.5661724e+00
6.0872710e-13 5.6684190e-10 2.0413670e-16 2.8103230e+03 5.6559490e-07 1.5705309e+00
6.5002140e-13 6.0529490e-10 2.2635740e-16 2.8103230e+03 5.9144390e-07 1.5815613e+00
6.9411700e-13 6.4635640e-10 2.5123830e-16 2.8103230e+03 6.2238550e-07 1.6012010e+00
7.4120400e-13 6.9020350e-10 2.7929800e-16 2.8103230e+03 6.6028550e-07 1.6317036e+00
7.9148510e-13 7.3702490e-10 3.1123050e-16 2.8103230e+03 7.0072710e-07 1.6593924e+00
8.4517730e-13 7.8702270e-10 3.4726480e-16 2.8103230e+03 7.3440620e-07 1.6644204e+00
9.0251170e-13 8.4041210e-10 3.8725470e-16 2.8103230e+03 7.6284190e-07 1.6555044e+00
9.6373560e-13 8.9742330e-10 4.3158650e-16 2.8103230e+03 7.9152670e-07 1.6458690e+00
1.0291130e-12 9.5830200e-10 4.8067910e-16 2.8103240e+03 8.2042350e-07 1.6356315e+00
1.0989250e-12 1.0233110e-09 5.3498750e-16 2.8103240e+03 8.4953270e-07 1.6249662e+00
1.1734730e-12 1.0927290e-09 5.9500810e-16 2.8103240e+03 8.7888110e-07 1.6140610e+00
1.2530780e-12 1.1668570e-09 6.6128620e-16 2.8103240e+03 9.0856420e-07 1.6031865e+00
1.3380830e-12 1.2460130e-09 7.3442680e-16 2.8103240e+03 9.3877630e-07 1.5927090e+00
1.4288550e-12 1.3305390e-09 8.1511100e-16 2.8103240e+03 9.6981930e-07 1.5830767e+00
1.5257840e-12 1.4207990e-09 9.0411870e-16 2.8103240e+03 1.0021690e-06 1.5748835e+00
1.6292890e-12 1.5171820e-09 1.0023620e-15 2.8103240e+03 1.0365150e-06 1.5688773e+00
1.7398160e-12 1.6201040e-09 1.1109340e-15 2.8103240e+03 1.0738420e-06 1.5660128e+00
1.8578400e-12 1.7300070e-09 1.2311760e-15 2.8103240e+03 1.1154950e-06 1.5674571e+00
1.9838710e-12 1.8473660e-09 1.3647740e-15 2.8103240e+03 1.1633080e-06 1.5746616e+00
2.1184510e-12 1.9726860e-09 1.5138970e-15 2.8103240e+03 1.2197370e-06 1.5893815e+00
2.2621600e-12 2.1065080e-09 1.6813830e-15 2.8103240e+03 1.2880340e-06 1.6137050e+00
2.4156190e-12 2.2494080e-09 1.8710090e-15 2.8103240e+03 1.3698840e-06 1.6469352e+00
2.5794880e-12 2.4020010e-09 2.0870340e-15 2.8103240e+03 1.4464880e-06 1.6647878e+00
2.7544730e-12 2.5649460e-09 2.3280900e-15 2.8103250e+03 1.5070910e-06 1.6604214e+00
2.9413290e-12 2.7389450e-09 2.5954730e-15 2.8103250e+03 1.5646640e-06 1.6511567e+00
3.1408600e-12 2.9247480e-09 2.8917420e-15 2.8103250e+03 1.6227130e-06 1.6412361e+00
3.3539270e-12 3.1231550e-09 3.2196700e-15 2.8103250e+03 1.6811770e-06 1.6307826e+00
3.5814480e-12 3.3350210e-09 3.5822730e-15 2.8103250e+03 1.7400690e-06 1.6199695e+00
3.8244040e-12 3.5612600e-09 3.9828530e-15 2.8103250e+03 1.7995200e-06 1.6090390e+00
4.0838400e-12 3.8028460e-09 4.4250510e-15 2.8103250e+03 1.8598050e-06 1.5983003e+00
4.3608770e-12 4.0608200e-09 4.9129340e-15 2.8103250e+03 1.9213990e-06 1.5881477e+00
4.6567060e-12 4.3362950e-09 5.4511120e-15 2.8103250e+03 1.9850580e-06 1.5790921e+00
4.9726040e-12 4.6304580e-09 6.0449130e-15 2.8103250e+03 2.0519370e-06 1.5718043e+00
5.3099310e-12 4.9445750e-09 6.7006390e-15 2.8103260e+03 2.1236660e-06 1.5671102e+00
5.6701420e-12 5.2800020e-09 7.4259200e-15 2.8103260e+03 2.2025380e-06 1.5660580e+00
6.0547890e-12 5.6381830e-09 8.2302320e-15 2.8103260e+03 2.2917020e-06 1.5699502e+00
6.4655290e-12 6.0206620e-09 9.1256110e-15 2.8103260e+03 2.3953850e-06 1.5803682e+00
6.9041320e-12 6.4290870e-09 1.0127670e-14 2.8103260e+03 2.5192390e-06 1.5992259e+00
7.3724890e-12 6.8652190e-09 1.1257020e-14 2.8103260e+03 2.6706890e-06 1.6287521e+00
7.8726180e-12 7.3309370e-09 1.2541200e-14 2.8103260e+03 2.8362590e-06 1.6579332e+00
8.4066740e-12 7.8282480e-09 1.3993570e-14 2.8103270e+03 2.9762710e-06 1.6649811e+00
8.9769590e-12 8.3592960e-09 1.5605770e-14 2.8103270e+03 3.0920280e-06 1.6562608e+00
9.5859300e-12 8.9263680e-09 1.7393170e-14 2.8103270e+03 3.2085760e-06 1.6466800e+00
1.0236210e-11 9.5319090e-09 1.9372690e-14 2.8103270e+03 3.3259990e-06 1.6364885e+00
1.0930610e-11 1.0178530e-08 2.1562700e-14 2.8103270e+03 3.4442740e-06 1.6258502e+00
1.1672110e-11 1.0869010e-08 2.3983240e-14 2.8103280e+03 3.5634860e-06 1.6149465e+00
1.2463910e-11 1.1606340e-08 2.6656290e-14 2.8103280e+03 3.6840350e-06 1.6040590e+00
1.3309430e-11 1.2393680e-08 2.9606250e-14 2.8103280e+03 3.8066760e-06 1.5935432e+00
1.4212300e-11 1.3234430e-08 3.2860520e-14 2.8103280e+03 3.9325430e-06 1.5838183e+00
1.5176430e-11 1.4132220e-08 3.6450430e-14 2.8103290e+03 4.0635200e-06 1.5754741e+00
1.6205950e-11 1.5090920e-08 4.0412580e-14 2.8103290e+03 4.2023980e-06 1.5692693e+00
1.7305320e-11 1.6114640e-08 4.4790700e-14 2.8103290e+03 4.3529830e-06 1.5661052e+00
1.8479260e-11 1.7207820e-08 4.9638370e-14 2.8103290e+03 4.5206300e-06 1.5671428e+00
1.9732850e-11 1.8375150e-08 5.5022840e-14 2.8103300e+03 4.7126400e-06 1.5738142e+00
2.1071470e-11 1.9621680e-08 6.1030400e-14 2.8103300e+03 4.9387710e-06 1.5878527e+00
2.2500890e-11 2.0952760e-08 6.7773930e-14 2.8103300e+03 5.2119580e-06 1.6113166e+00
2.4027290e-11 2.2374140e-08 7.5403320e-14 2.8103310e+03 5.5422010e-06 1.6445217e+00
2.5657240e-11 2.3891940e-08 8.4098270e-14 2.8103310e+03 5.8578170e-06 1.6641853e+00
2.7397750e-11 2.5512710e-08 9.3815990e-14 2.8103310e+03 6.1083650e-06 1.6611403e+00
2.9256340e-11 2.7243430e-08 1.0459600e-13 2.8103320e+03 6.3422930e-06 1.6519416e+00
3.1241000e-11 2.9091560e-08 1.1654170e-13 2.8103320e+03 6.5781580e-06 1.6420701e+00
3.3360310e-11 3.1065050e-08 1.2976490e-13 2.8103330e+03 6.8156760e-06 1.6316446e+00
3.5623380e-11 3.3172430e-08 1.4438750e-13 2.8103330e+03 7.0549770e-06 1.6208588e+00
3.8039960e-11 3.5422760e-08 1.6054280e-13 2.8103330e+03 7.2964820e-06 1.6099302e+00
4.0620490e-11 3.7825760e-08 1.7837750e-13 2.8103340e+03 7.5412280e-06 1.5991592e+00
4.3376070e-11 4.0391760e-08 1.9805540e-13 2.8103340e+03 7.7911070e-06 1.5889396e+00
4.6318580e-11 4.3131840e-08 2.1976180e-13 2.8103350e+03 8.0490920e-06 1.5797737e+00
4.9460700e-11 4.6057800e-08 2.4371080e-13 2.8103350e+03 8.3197320e-06 1.5723168e+00
5.2815980e-11 4.9182240e-08 2.7015480e-13 2.8103360e+03 8.6094220e-06 1.5673717e+00
5.6398860e-11 5.2518650e-08 2.9939890e-13 2.8103360e+03 8.9273020e-06 1.5659794e+00
6.0224800e-11 5.6081380e-08 3.3182140e-13 2.8103370e+03 9.2858250e-06 1.5694134e+00
6.4310280e-11 5.9885810e-08 3.6790170e-13 2.8103370e+03 9.7017710e-06 1.5792316e+00
6.8672910e-11 6.3948320e-08 4.0826100e-13 2.8103380e+03 1.0197620e-05 1.5973234e+00
7.3331490e-11 6.8286420e-08 4.5371780e-13 2.8103390e+03 1.0802840e-05 1.6258832e+00
7.8306090e-11 7.2918820e-08 5.0536530e-13 2.8103390e+03 1.1479560e-05 1.6563895e+00
8.3618160e-11 7.7865460e-08 5.6389560e-13 2.8103400e+03 1.2062720e-05 1.6656914e+00
8.9290580e-11 8.3147680e-08 6.2891300e-13 2.8103410e+03 1.2538590e-05 1.6577214e+00
9.5347800e-11 8.8788230e-08 7.0102210e-13 2.8103420e+03 1.3016000e-05 1.6485596e+00
1.0181590e-10 9.4811430e-08 7.8091190e-13 2.8103430e+03 1.3497450e-05 1.6387547e+00
1.0872280e-10 1.0124320e-07 8.6932990e-13 2.8103430e+03 1.3982550e-05 1.6284385e+00
1.1609830e-10 1.0811130e-07 9.6709050e-13 2.8103440e+03 1.4471510e-05 1.6177884e+00
1.2397410e-10 1.1544540e-07 1.0750860e-12 2.8103450e+03 1.4965620e-05 1.6070603e+00
1.3238410e-10 1.2327700e-07 1.1943020e-12 2.8103460e+03 1.5467550e-05 1.5965908e+00
1.4136470e-10 1.3163980e-07 1.3258430e-12 2.8103470e+03 1.5981390e-05 1.5867702e+00
1.5095450e-10 1.4057000e-07 1.4709640e-12 2.8103480e+03 1.6513790e-05 1.5781268e+00
1.6119480e-10 1.5010590e-07 1.6311180e-12 2.8103490e+03 1.7074750e-05 1.5713447e+00
1.7212980e-10 1.6028880e-07 1.8080320e-12 2.8103500e+03 1.7678520e-05 1.5672846e+00
1.8380660e-10 1.7116250e-07 2.0038030e-12 2.8103510e+03 1.8345030e-05 1.5670293e+00
1.9627550e-10 1.8277380e-07 2.2210400e-12 2.8103520e+03 1.9101350e-05 1.5719072e+00
2.0959030e-10 1.9517280e-07 2.4630710e-12 2.8103530e+03 1.9983910e-05 1.5835373e+00
2.2380830e-10 2.0841290e-07 2.7342160e-12 2.8103550e+03 2.1040970e-05 1.6038481e+00
2.3899080e-10 2.2255130e-07 3.0401850e-12 2.8103560e+03 2.2320350e-05 1.6339436e+00
2.5520330e-10 2.3764880e-07 3.3881190e-12 2.8103570e+03 2.3563630e-05 1.6528192e+00
2.7251560e-10 2.5377040e-07 3.7769170e-12 2.8103590e+03 2.4550740e-05 1.6495845e+00
2.9100220e-10 2.7098580e-07 4.2075490e-12 2.8103600e+03 2.5452960e-05 1.6393149e+00
3.1074300e-10 2.8936900e-07 4.6840660e-12 2.8103620e+03 2.6364800e-05 1.6287728e+00
3.3182290e-10 3.0899930e-07 5.2109110e-12 2.8103640e+03 2.7288470e-05 1.6181931e+00
3.5433290e-10 3.2996140e-07 5.7930100e-12 2.8103650e+03 2.8228970e-05 1.6079092e+00
3.7836980e-10 3.5234540e-07 6.4358790e-12 2.8103670e+03 2.9194150e-05 1.5983228e+00
4.0403740e-10 3.7624800e-07 7.1457970e-12 2.8103690e+03 3.0196390e-05 1.5899622e+00
4.3144610e-10 4.0177210e-07 7.9300500e-12 2.8103710e+03 3.1254140e-05 1.5835070e+00
4.6071420e-10 4.2902770e-07 8.7972720e-12 2.8103730e+03 3.2393280e-05 1.5797965e+00
4.9196780e-10 4.5813230e-07 9.7579410e-12 2.8103750e+03 3.3650050e-05 1.5798930e+00
5.2534150e-10 4.8921140e-07 1.0825080e-11 2.8103770e+03 3.5073650e-05 1.5850977e+00
5.6097920e-10 5.2239890e-07 1.2015220e-11 2.8103790e+03 3.6730510e-05 1.5970094e+00
5.9903440e-10 5.5783780e-07 1.3349810e-11 2.8103810e+03 3.8689990e-05 1.6167463e+00
6.3967120e-10 5.9568100e-07 1.4855630e-11 2.8103840e+03 4.0586470e-05 1.6274767e+00
6.8306470e-10 6.3609140e-07 1.6530070e-11 2.8103860e+03 4.2085340e-05 1.6195224e+00
7.2940190e-10 6.7924330e-07 1.8376060e-11 2.8103890e+03 4.3421680e-05 1.6050602e+00
7.7888250e-10 7.2532260e-07 2.0408530e-11 2.8103920e+03 4.4744540e-05 1.5902732e+00
