p e cs2 p_norm muB X n gamma
1.7930000e-04 2.0430000e+02 3.1960000e-01 1.9280000e-06 9.3380000e+02 2.9000000e+00 1.6784000e-03 3.6416251e+05
4.9070000e-01 2.0580000e+02 3.1880000e-01 5.2280000e-03 9.3600000e+02 2.9000000e+00 1.6912000e-03 1.3402379e+02
9.8610000e-01 2.0740000e+02 3.1730000e-01 1.0410000e-02 9.3830000e+02 2.9000000e+00 1.7040000e-03 6.7052945e+01
1.4860000e+00 2.0890000e+02 3.1580000e-01 1.5540000e-02 9.4050000e+02 2.9000000e+00 1.7168000e-03 4.4710564e+01
1.9920000e+00 2.1060000e+02 3.1440000e-01 2.0620000e-02 9.4280000e+02 2.9000000e+00 1.7296000e-03 3.3553677e+01
2.5020000e+00 2.1220000e+02 3.1310000e-01 2.5660000e-02 9.4500000e+02 2.9000000e+00 1.7424000e-03 2.6867784e+01
3.0180000e+00 2.1380000e+02 3.1180000e-01 3.0650000e-02 9.4730000e+02 2.9000000e+00 1.7568000e-03 2.2400216e+01
3.5390000e+00 2.1550000e+02 3.1060000e-01 3.5600000e-02 9.4960000e+02 2.9000000e+00 1.7696000e-03 1.9223937e+01
4.0650000e+00 2.1720000e+02 3.0940000e-01 4.0500000e-02 9.5180000e+02 2.9000000e+00 1.7840000e-03 1.6841179e+01
4.5960000e+00 2.1890000e+02 3.0820000e-01 4.5360000e-02 9.5410000e+02 2.9000000e+00 1.7968000e-03 1.4987264e+01
5.1330000e+00 2.2070000e+02 3.0710000e-01 5.0180000e-02 9.5640000e+02 2.9000000e+00 1.8112000e-03 1.3511263e+01
5.6750000e+00 2.2240000e+02 3.0610000e-01 5.4950000e-02 9.5870000e+02 2.9000000e+00 1.8256000e-03 1.2301984e+01
6.2230000e+00 2.2420000e+02 3.0500000e-01 5.9690000e-02 9.6100000e+02 2.9000000e+00 1.8400000e-03 1.1293430e+01
6.7770000e+00 2.2600000e+02 3.0400000e-01 6.4380000e-02 9.6330000e+02 2.9000000e+00 1.8544000e-03 1.0441819e+01
7.3360000e+00 2.2790000e+02 3.0310000e-01 6.9030000e-02 9.6560000e+02 2.9000000e+00 1.8688000e-03 9.7191973e+00
7.9010000e+00 2.2980000e+02 3.0220000e-01 7.3630000e-02 9.6790000e+02 2.9000000e+00 1.8848000e-03 9.0916646e+00
8.4720000e+00 2.3160000e+02 3.0130000e-01 7.8200000e-02 9.7020000e+02 2.9000000e+00 1.8992000e-03 8.5379714e+00
9.0480000e+00 2.3360000e+02 3.0050000e-01 8.2730000e-02 9.7250000e+02 2.9000000e+00 1.9136000e-03 8.0587670e+00
9.6310000e+00 2.3550000e+02 2.9970000e-01 8.7220000e-02 9.7480000e+02 2.9000000e+00 1.9296000e-03 7.6280512e+00
1.0220000e+01 2.3750000e+02 2.9890000e-01 9.1680000e-02 9.7720000e+02 2.9000000e+00 1.9456000e-03 7.2449616e+00
1.0810000e+01 2.3950000e+02 2.9810000e-01 9.6090000e-02 9.7950000e+02 2.9000000e+00 1.9600000e-03 6.9026282e+00
1.1420000e+01 2.4150000e+02 2.9740000e-01 1.0050000e-01 9.8190000e+02 2.9000000e+00 1.9760000e-03 6.5865506e+00
1.2020000e+01 2.4350000e+02 2.9670000e-01 1.0480000e-01 9.8420000e+02 2.9000000e+00 1.9920000e-03 6.3072200e+00
1.2640000e+01 2.4560000e+02 2.9600000e-01 1.0910000e-01 9.8660000e+02 2.9000000e+00 2.0080000e-03 6.0473924e+00
1.3260000e+01 2.4770000e+02 2.9540000e-01 1.1340000e-01 9.8890000e+02 2.9000000e+00 2.0240000e-03 5.8135433e+00
1.3880000e+01 2.4980000e+02 2.9480000e-01 1.1760000e-01 9.9130000e+02 2.9000000e+00 2.0416000e-03 5.6003504e+00
1.4520000e+01 2.5200000e+02 2.9420000e-01 1.2180000e-01 9.9370000e+02 2.9000000e+00 2.0576000e-03 5.4001504e+00
1.5160000e+01 2.5420000e+02 2.9360000e-01 1.2600000e-01 9.9600000e+02 2.9000000e+00 2.0752000e-03 5.2166290e+00
1.5810000e+01 2.5640000e+02 2.9310000e-01 1.3010000e-01 9.9840000e+02 2.9000000e+00 2.0912000e-03 5.0464738e+00
1.6460000e+01 2.5860000e+02 2.9250000e-01 1.3420000e-01 1.0010000e+03 2.9000000e+00 2.1088000e-03 4.8879131e+00
1.7120000e+01 2.6090000e+02 2.9200000e-01 1.3820000e-01 1.0030000e+03 2.9000000e+00 2.1264000e-03 4.7419299e+00
1.7790000e+01 2.6310000e+02 2.9150000e-01 1.4230000e-01 1.0060000e+03 2.9000000e+00 2.1440000e-03 4.6025540e+00
1.8460000e+01 2.6550000e+02 2.9110000e-01 1.4630000e-01 1.0080000e+03 2.9000000e+00 2.1616000e-03 4.4778308e+00
1.9140000e+01 2.6780000e+02 2.9060000e-01 1.5020000e-01 1.0100000e+03 2.9000000e+00 2.1792000e-03 4.3565707e+00
1.9830000e+01 2.7020000e+02 2.9020000e-01 1.5410000e-01 1.0130000e+03 2.9000000e+00 2.1968000e-03 4.2444128e+00
2.0530000e+01 2.7260000e+02 2.8980000e-01 1.5800000e-01 1.0150000e+03 2.9000000e+00 2.2160000e-03 4.1378019e+00
2.1230000e+01 2.7500000e+02 2.8940000e-01 1.6190000e-01 1.0180000e+03 2.9000000e+00 2.2336000e-03 4.0381047e+00
2.1950000e+01 2.7750000e+02 2.8900000e-01 1.6570000e-01 1.0200000e+03 2.9000000e+00 2.2528000e-03 3.9426446e+00
2.2670000e+01 2.8000000e+02 2.8860000e-01 1.6960000e-01 1.0230000e+03 2.9000000e+00 2.2704000e-03 3.8531346e+00
2.3390000e+01 2.8250000e+02 2.8830000e-01 1.7330000e-01 1.0250000e+03 2.9000000e+00 2.2896000e-03 3.7703329e+00
2.4130000e+01 2.8500000e+02 2.8800000e-01 1.7710000e-01 1.0270000e+03 2.9000000e+00 2.3088000e-03 3.6895748e+00
2.4870000e+01 2.8760000e+02 2.8760000e-01 1.8080000e-01 1.0300000e+03 2.9000000e+00 2.3280000e-03 3.6134448e+00
2.5620000e+01 2.9020000e+02 2.8730000e-01 1.8450000e-01 1.0320000e+03 2.9000000e+00 2.3472000e-03 3.5415724e+00
2.6380000e+01 2.9290000e+02 2.8700000e-01 1.8810000e-01 1.0350000e+03 2.9000000e+00 2.3664000e-03 3.4735921e+00
2.7150000e+01 2.9550000e+02 2.8680000e-01 1.9180000e-01 1.0370000e+03 2.9000000e+00 2.3872000e-03 3.4083249e+00
2.7920000e+01 2.9820000e+02 2.8650000e-01 1.9540000e-01 1.0400000e+03 2.9000000e+00 2.4064000e-03 3.3464678e+00
2.8710000e+01 3.0100000e+02 2.8630000e-01 1.9890000e-01 1.0420000e+03 2.9000000e+00 2.4272000e-03 3.2879127e+00
2.9500000e+01 3.0370000e+02 2.8600000e-01 2.0250000e-01 1.0450000e+03 2.9000000e+00 2.4480000e-03 3.2303458e+00
3.0300000e+01 3.0650000e+02 2.8580000e-01 2.0600000e-01 1.0470000e+03 2.9000000e+00 2.4672000e-03 3.1768132e+00
3.1110000e+01 3.0940000e+02 2.8560000e-01 2.0950000e-01 1.0500000e+03 2.9000000e+00 2.4880000e-03 3.1259934e+00
3.1930000e+01 3.1220000e+02 2.8540000e-01 2.1290000e-01 1.0520000e+03 2.9000000e+00 2.5104000e-03 3.0759381e+00
3.2750000e+01 3.1510000e+02 2.8520000e-01 2.1640000e-01 1.0550000e+03 2.9000000e+00 2.5312000e-03 3.0292159e+00
3.3590000e+01 3.1810000e+02 2.8500000e-01 2.1980000e-01 1.0570000e+03 2.9000000e+00 2.5520000e-03 2.9839729e+00
3.4430000e+01 3.2100000e+02 2.8480000e-01 2.2320000e-01 1.0600000e+03 2.9000000e+00 2.5728000e-03 2.9400658e+00
3.5290000e+01 3.2400000e+02 2.8460000e-01 2.2650000e-01 1.0620000e+03 2.9000000e+00 2.5952000e-03 2.8975328e+00
3.6150000e+01 3.2710000e+02 2.8450000e-01 2.2990000e-01 1.0650000e+03 2.9000000e+00 2.6176000e-03 2.8587725e+00
