p e n/n0 cs2 p_norm muB X
1.424e-02 2.001e+02 1.032e-02 3.184e-01 1.560e-04 9.295e-01 2.920e+00
4.974e-01 2.016e+02 1.040e-02 3.177e-01 5.398e-03 9.317e-01 2.920e+00
9.854e-01 2.031e+02 1.048e-02 3.162e-01 1.059e-02 9.340e-01 2.920e+00
1.478e+00 2.047e+02 1.056e-02 3.147e-01 1.574e-02 9.362e-01 2.920e+00
1.976e+00 2.063e+02 1.064e-02 3.134e-01 2.084e-02 9.385e-01 2.920e+00
2.479e+00 2.079e+02 1.072e-02 3.121e-01 2.589e-02 9.407e-01 2.920e+00
2.987e+00 2.095e+02 1.081e-02 3.108e-01 3.090e-02 9.430e-01 2.920e+00
3.500e+00 2.112e+02 1.089e-02 3.096e-01 3.586e-02 9.453e-01 2.920e+00
4.019e+00 2.128e+02 1.098e-02 3.084e-01 4.078e-02 9.475e-01 2.920e+00
4.543e+00 2.146e+02 1.106e-02 3.073e-01 4.565e-02 9.498e-01 2.920e+00
5.072e+00 2.163e+02 1.115e-02 3.062e-01 5.048e-02 9.521e-01 2.920e+00
5.606e+00 2.180e+02 1.124e-02 3.051e-01 5.527e-02 9.544e-01 2.920e+00
6.146e+00 2.198e+02 1.133e-02 3.041e-01 6.001e-02 9.567e-01 2.920e+00
6.692e+00 2.216e+02 1.142e-02 3.032e-01 6.471e-02 9.590e-01 2.920e+00
7.243e+00 2.234e+02 1.151e-02 3.022e-01 6.938e-02 9.613e-01 2.920e+00
7.801e+00 2.253e+02 1.160e-02 3.013e-01 7.400e-02 9.636e-01 2.920e+00
8.363e+00 2.271e+02 1.169e-02 3.005e-01 7.858e-02 9.659e-01 2.920e+00
8.932e+00 2.290e+02 1.179e-02 2.996e-01 8.312e-02 9.683e-01 2.920e+00
9.507e+00 2.310e+02 1.188e-02 2.988e-01 8.762e-02 9.706e-01 2.920e+00
1.009e+01 2.329e+02 1.198e-02 2.981e-01 9.209e-02 9.729e-01 2.920e+00
1.067e+01 2.349e+02 1.207e-02 2.973e-01 9.651e-02 9.753e-01 2.920e+00
1.127e+01 2.369e+02 1.217e-02 2.966e-01 1.009e-01 9.776e-01 2.920e+00
1.187e+01 2.389e+02 1.227e-02 2.960e-01 1.052e-01 9.800e-01 2.920e+00
1.247e+01 2.409e+02 1.237e-02 2.953e-01 1.096e-01 9.823e-01 2.920e+00
1.309e+01 2.430e+02 1.247e-02 2.947e-01 1.138e-01 9.847e-01 2.920e+00
1.370e+01 2.451e+02 1.258e-02 2.941e-01 1.181e-01 9.870e-01 2.920e+00
1.433e+01 2.472e+02 1.268e-02 2.935e-01 1.223e-01 9.894e-01 2.920e+00
1.496e+01 2.494e+02 1.278e-02 2.929e-01 1.265e-01 9.918e-01 2.920e+00
1.560e+01 2.516e+02 1.289e-02 2.924e-01 1.306e-01 9.942e-01 2.920e+00
1.624e+01 2.538e+02 1.299e-02 2.919e-01 1.347e-01 9.966e-01 2.920e+00
1.690e+01 2.560e+02 1.310e-02 2.914e-01 1.388e-01 9.990e-01 2.920e+00
1.756e+01 2.583e+02 1.321e-02 2.909e-01 1.428e-01 1.001e+00 2.920e+00
1.822e+01 2.606e+02 1.332e-02 2.905e-01 1.468e-01 1.004e+00 2.920e+00
1.890e+01 2.629e+02 1.343e-02 2.900e-01 1.508e-01 1.006e+00 2.920e+00
1.958e+01 2.653e+02 1.354e-02 2.896e-01 1.547e-01 1.009e+00 2.920e+00
2.026e+01 2.676e+02 1.366e-02 2.892e-01 1.586e-01 1.011e+00 2.920e+00
2.096e+01 2.700e+02 1.377e-02 2.888e-01 1.625e-01 1.013e+00 2.920e+00
2.166e+01 2.725e+02 1.388e-02 2.884e-01 1.663e-01 1.016e+00 2.920e+00
2.237e+01 2.749e+02 1.400e-02 2.881e-01 1.701e-01 1.018e+00 2.920e+00
2.309e+01 2.774e+02 1.412e-02 2.878e-01 1.739e-01 1.021e+00 2.920e+00
2.382e+01 2.800e+02 1.424e-02 2.874e-01 1.777e-01 1.023e+00 2.920e+00
2.455e+01 2.825e+02 1.436e-02 2.871e-01 1.814e-01 1.026e+00 2.920e+00
2.529e+01 2.851e+02 1.448e-02 2.868e-01 1.851e-01 1.028e+00 2.920e+00
2.604e+01 2.877e+02 1.460e-02 2.865e-01 1.888e-01 1.031e+00 2.920e+00
2.680e+01 2.904e+02 1.472e-02 2.863e-01 1.924e-01 1.033e+00 2.920e+00
2.757e+01 2.930e+02 1.485e-02 2.860e-01 1.960e-01 1.036e+00 2.920e+00
2.834e+01 2.957e+02 1.497e-02 2.858e-01 1.996e-01 1.038e+00 2.920e+00
2.913e+01 2.985e+02 1.510e-02 2.856e-01 2.031e-01 1.041e+00 2.920e+00
2.992e+01 3.013e+02 1.523e-02 2.853e-01 2.067e-01 1.043e+00 2.920e+00
3.072e+01 3.041e+02 1.535e-02 2.851e-01 2.102e-01 1.046e+00 2.920e+00
3.153e+01 3.069e+02 1.548e-02 2.849e-01 2.136e-01 1.048e+00 2.920e+00
3.234e+01 3.098e+02 1.562e-02 2.847e-01 2.171e-01 1.051e+00 2.920e+00
3.317e+01 3.127e+02 1.575e-02 2.846e-01 2.205e-01 1.053e+00 2.920e+00
3.401e+01 3.156e+02 1.588e-02 2.844e-01 2.239e-01 1.056e+00 2.920e+00
3.485e+01 3.186e+02 1.602e-02 2.842e-01 2.272e-01 1.058e+00 2.920e+00
3.570e+01 3.216e+02 1.615e-02 2.841e-01 2.306e-01 1.061e+00 2.920e+00
3.657e+01 3.246e+02 1.629e-02 2.839e-01 2.339e-01 1.063e+00 2.920e+00
3.744e+01 3.277e+02 1.643e-02 2.838e-01 2.372e-01 1.066e+00 2.920e+00
3.832e+01 3.308e+02 1.657e-02 2.837e-01 2.405e-01 1.068e+00 2.920e+00
3.921e+01 3.340e+02 1.671e-02 2.836e-01 2.437e-01 1.071e+00 2.920e+00
4.011e+01 3.371e+02 1.685e-02 2.835e-01 2.469e-01 1.074e+00 2.920e+00
4.103e+01 3.403e+02 1.699e-02 2.834e-01 2.501e-01 1.076e+00 2.920e+00
4.195e+01 3.436e+02 1.714e-02 2.833e-01 2.533e-01 1.079e+00 2.920e+00
4.288e+01 3.469e+02 1.729e-02 2.832e-01 2.564e-01 1.081e+00 2.920e+00
4.382e+01 3.502e+02 1.743e-02 2.831e-01 2.596e-01 1.084e+00 2.920e+00
4.477e+01 3.536e+02 1.758e-02 2.830e-01 2.627e-01 1.087e+00 2.920e+00
4.573e+01 3.570e+02 1.773e-02 2.830e-01 2.657e-01 1.089e+00 2.920e+00
4.671e+01 3.604e+02 1.788e-02 2.829e-01 2.688e-01 1.092e+00 2.920e+00
4.769e+01 3.639e+02 1.803e-02 2.829e-01 2.718e-01 1.094e+00 2.920e+00
4.869e+01 3.674e+02 1.819e-02 2.828e-01 2.748e-01 1.097e+00 2.920e+00
4.969e+01 3.710e+02 1.834e-02 2.828e-01 2.778e-01 1.100e+00 2.920e+00
5.071e+01 3.746e+02 1.850e-02 2.827e-01 2.808e-01 1.102e+00 2.920e+00
5.173e+01 3.782e+02 1.866e-02 2.827e-01 2.838e-01 1.105e+00 2.920e+00
5.277e+01 3.819e+02 1.882e-02 2.827e-01 2.867e-01 1.108e+00 2.920e+00
5.382e+01 3.856e+02 1.898e-02 2.827e-01 2.896e-01 1.110e+00 2.920e+00
5.489e+01 3.893e+02 1.914e-02 2.827e-01 2.925e-01 1.113e+00 2.920e+00
5.596e+01 3.931e+02 1.930e-02 2.826e-01 2.953e-01 1.116e+00 2.920e+00
5.704e+01 3.970e+02 1.947e-02 2.826e-01 2.982e-01 1.118e+00 2.920e+00
5.814e+01 4.009e+02 1.963e-02 2.826e-01 3.010e-01 1.121e+00 2.920e+00
5.925e+01 4.048e+02 1.980e-02 2.826e-01 3.038e-01 1.124e+00 2.920e+00
6.037e+01 4.087e+02 1.997e-02 2.827e-01 3.066e-01 1.126e+00 2.920e+00
6.150e+01 4.128e+02 2.014e-02 2.827e-01 3.094e-01 1.129e+00 2.920e+00
6.265e+01 4.168e+02 2.031e-02 2.827e-01 3.121e-01 1.132e+00 2.920e+00
6.381e+01 4.209e+02 2.049e-02 2.827e-01 3.149e-01 1.135e+00 2.920e+00
6.498e+01 4.250e+02 2.066e-02 2.827e-01 3.176e-01 1.137e+00 2.920e+00
6.616e+01 4.292e+02 2.084e-02 2.828e-01 3.203e-01 1.140e+00 2.920e+00
6.736e+01 4.335e+02 2.102e-02 2.828e-01 3.229e-01 1.143e+00 2.920e+00
6.857e+01 4.377e+02 2.120e-02 2.828e-01 3.256e-01 1.146e+00 2.920e+00
6.979e+01 4.421e+02 2.138e-02 2.829e-01 3.282e-01 1.148e+00 2.920e+00
7.103e+01 4.464e+02 2.156e-02 2.829e-01 3.309e-01 1.151e+00 2.920e+00
7.228e+01 4.509e+02 2.174e-02 2.830e-01 3.335e-01 1.154e+00 2.920e+00
7.354e+01 4.553e+02 2.193e-02 2.830e-01 3.360e-01 1.157e+00 2.920e+00
7.482e+01 4.598e+02 2.211e-02 2.831e-01 3.386e-01 1.159e+00 2.920e+00
7.611e+01 4.644e+02 2.230e-02 2.831e-01 3.412e-01 1.162e+00 2.920e+00
7.742e+01 4.690e+02 2.249e-02 2.832e-01 3.437e-01 1.165e+00 2.920e+00
7.874e+01 4.737e+02 2.268e-02 2.832e-01 3.462e-01 1.168e+00 2.920e+00
8.007e+01 4.784e+02 2.288e-02 2.833e-01 3.487e-01 1.171e+00 2.920e+00
8.142e+01 4.831e+02 2.307e-02 2.834e-01 3.512e-01 1.173e+00 2.920e+00
8.279e+01 4.880e+02 2.327e-02 2.834e-01 3.537e-01 1.176e+00 2.920e+00
8.417e+01 4.928e+02 2.347e-02 2.835e-01 3.561e-01 1.179e+00 2.920e+00
8.556e+01 4.977e+02 2.367e-02 2.836e-01 3.586e-01 1.182e+00 2.920e+00
8.697e+01 5.027e+02 2.387e-02 2.836e-01 3.610e-01 1.185e+00 2.920e+00
8.839e+01 5.077e+02 2.407e-02 2.837e-01 3.634e-01 1.188e+00 2.920e+00
8.983e+01 5.128e+02 2.428e-02 2.838e-01 3.658e-01 1.191e+00 2.920e+00
9.129e+01 5.179e+02 2.448e-02 2.839e-01 3.681e-01 1.193e+00 2.920e+00
9.276e+01 5.231e+02 2.469e-02 2.840e-01 3.705e-01 1.196e+00 2.920e+00
9.425e+01 5.284e+02 2.490e-02 2.841e-01 3.728e-01 1.199e+00 2.920e+00
9.575e+01 5.337e+02 2.511e-02 2.841e-01 3.752e-01 1.202e+00 2.920e+00
9.727e+01 5.390e+02 2.533e-02 2.842e-01 3.775e-01 1.205e+00 2.920e+00
9.881e+01 5.444e+02 2.554e-02 2.843e-01 3.798e-01 1.208e+00 2.920e+00
1.004e+02 5.499e+02 2.576e-02 2.844e-01 3.821e-01 1.211e+00 2.920e+00
1.019e+02 5.554e+02 2.598e-02 2.845e-01 3.843e-01 1.214e+00 2.920e+00
1.035e+02 5.610e+02 2.620e-02 2.846e-01 3.866e-01 1.217e+00 2.920e+00
1.051e+02 5.666e+02 2.642e-02 2.847e-01 3.888e-01 1.219e+00 2.920e+00
1.068e+02 5.723e+02 2.664e-02 2.848e-01 3.910e-01 1.222e+00 2.920e+00
1.084e+02 5.781e+02 2.687e-02 2.849e-01 3.933e-01 1.225e+00 2.920e+00
1.101e+02 5.839e+02 2.709e-02 2.850e-01 3.955e-01 1.228e+00 2.920e+00
1.117e+02 5.898e+02 2.732e-02 2.851e-01 3.976e-01 1.231e+00 2.920e+00
1.134e+02 5.957e+02 2.756e-02 2.852e-01 3.998e-01 1.234e+00 2.920e+00
1.151e+02 6.017e+02 2.779e-02 2.853e-01 4.020e-01 1.237e+00 2.920e+00
1.169e+02 6.078e+02 2.802e-02 2.854e-01 4.041e-01 1.240e+00 2.920e+00
1.186e+02 6.139e+02 2.826e-02 2.855e-01 4.062e-01 1.243e+00 2.920e+00
1.204e+02 6.201e+02 2.850e-02 2.856e-01 4.084e-01 1.246e+00 2.920e+00
1.222e+02 6.264e+02 2.874e-02 2.857e-01 4.105e-01 1.249e+00 2.920e+00
1.240e+02 6.327e+02 2.898e-02 2.859e-01 4.126e-01 1.252e+00 2.920e+00
1.258e+02 6.391e+02 2.923e-02 2.860e-01 4.146e-01 1.255e+00 2.920e+00
1.277e+02 6.456e+02 2.947e-02 2.861e-01 4.167e-01 1.258e+00 2.920e+00
1.295e+02 6.521e+02 2.972e-02 2.862e-01 4.188e-01 1.261e+00 2.920e+00
1.314e+02 6.587e+02 2.997e-02 2.863e-01 4.208e-01 1.264e+00 2.920e+00
1.333e+02 6.654e+02 3.023e-02 2.864e-01 4.228e-01 1.267e+00 2.920e+00
1.353e+02 6.721e+02 3.048e-02 2.865e-01 4.248e-01 1.270e+00 2.920e+00
1.372e+02 6.789e+02 3.074e-02 2.867e-01 4.268e-01 1.273e+00 2.920e+00
1.392e+02 6.858e+02 3.099e-02 2.868e-01 4.288e-01 1.276e+00 2.920e+00
1.412e+02 6.927e+02 3.126e-02 2.869e-01 4.308e-01 1.279e+00 2.920e+00
1.432e+02 6.997e+02 3.152e-02 2.870e-01 4.328e-01 1.283e+00 2.920e+00
1.452e+02 7.068e+02 3.178e-02 2.871e-01 4.347e-01 1.286e+00 2.920e+00
1.473e+02 7.140e+02 3.205e-02 2.873e-01 4.367e-01 1.289e+00 2.920e+00
1.494e+02 7.212e+02 3.232e-02 2.874e-01 4.386e-01 1.292e+00 2.920e+00
1.515e+02 7.286e+02 3.259e-02 2.875e-01 4.405e-01 1.295e+00 2.920e+00
1.536e+02 7.360e+02 3.286e-02 2.876e-01 4.424e-01 1.298e+00 2.920e+00
1.557e+02 7.434e+02 3.314e-02 2.878e-01 4.443e-01 1.301e+00 2.920e+00
1.579e+02 7.510e+02 3.342e-02 2.879e-01 4.462e-01 1.304e+00 2.920e+00
1.601e+02 7.586e+02 3.370e-02 2.880e-01 4.481e-01 1.307e+00 2.920e+00
1.623e+02 7.663e+02 3.398e-02 2.881e-01 4.500e-01 1.311e+00 2.920e+00
1.646e+02 7.741e+02 3.426e-02 2.883e-01 4.518e-01 1.314e+00 2.920e+00
1.668e+02 7.819e+02 3.455e-02 2.884e-01 4.537e-01 1.317e+00 2.920e+00
1.691e+02 7.899e+02 3.484e-02 2.885e-01 4.555e-01 1.320e+00 2.920e+00
1.714e+02 7.979e+02 3.513e-02 2.886e-01 4.573e-01 1.323e+00 2.920e+00
1.738e+02 8.060e+02 3.543e-02 2.888e-01 4.591e-01 1.326e+00 2.920e+00
1.762e+02 8.142e+02 3.572e-02 2.889e-01 4.610e-01 1.330e+00 2.920e+00
1.785e+02 8.225e+02 3.602e-02 2.890e-01 4.627e-01 1.333e+00 2.920e+00
1.810e+02 8.309e+02 3.632e-02 2.891e-01 4.645e-01 1.336e+00 2.920e+00
1.834e+02 8.393e+02 3.662e-02 2.893e-01 4.663e-01 1.339e+00 2.920e+00
1.859e+02 8.479e+02 3.693e-02 2.894e-01 4.681e-01 1.342e+00 2.920e+00
1.884e+02 8.565e+02 3.724e-02 2.895e-01 4.698e-01 1.346e+00 2.920e+00
1.909e+02 8.652e+02 3.755e-02 2.897e-01 4.715e-01 1.349e+00 2.920e+00
1.935e+02 8.740e+02 3.786e-02 2.898e-01 4.733e-01 1.352e+00 2.920e+00
1.960e+02 8.829e+02 3.817e-02 2.899e-01 4.750e-01 1.355e+00 2.920e+00
1.986e+02 8.919e+02 3.849e-02 2.900e-01 4.767e-01 1.359e+00 2.920e+00
2.013e+02 9.010e+02 3.881e-02 2.902e-01 4.784e-01 1.362e+00 2.920e+00
2.039e+02 9.102e+02 3.913e-02 2.903e-01 4.801e-01 1.365e+00 2.920e+00
2.066e+02 9.194e+02 3.946e-02 2.904e-01 4.818e-01 1.369e+00 2.920e+00
2.093e+02 9.288e+02 3.979e-02 2.906e-01 4.835e-01 1.372e+00 2.920e+00
2.121e+02 9.382e+02 4.012e-02 2.907e-01 4.851e-01 1.375e+00 2.920e+00
2.149e+02 9.478e+02 4.045e-02 2.908e-01 4.868e-01 1.378e+00 2.920e+00
2.177e+02 9.575e+02 4.079e-02 2.909e-01 4.884e-01 1.382e+00 2.920e+00
