p e n/n0 cs2 p_norm muB X
1.320e-04 1.842e+02 9.681e-03 3.142e-01 1.558e-06 9.125e-01 3
4.548e-01 1.856e+02 9.757e-03 3.135e-01 5.313e-03 9.147e-01 3
9.142e-01 1.871e+02 9.834e-03 3.121e-01 1.058e-02 9.170e-01 3
1.378e+00 1.886e+02 9.912e-03 3.108e-01 1.579e-02 9.192e-01 3
1.847e+00 1.901e+02 9.990e-03 3.095e-01 2.095e-02 9.215e-01 3
2.321e+00 1.916e+02 1.007e-02 3.082e-01 2.607e-02 9.238e-01 3
2.800e+00 1.932e+02 1.015e-02 3.070e-01 3.114e-02 9.260e-01 3
3.284e+00 1.948e+02 1.023e-02 3.059e-01 3.617e-02 9.283e-01 3
3.773e+00 1.964e+02 1.032e-02 3.048e-01 4.115e-02 9.306e-01 3
4.267e+00 1.980e+02 1.040e-02 3.037e-01 4.608e-02 9.329e-01 3
4.766e+00 1.997e+02 1.048e-02 3.027e-01 5.097e-02 9.352e-01 3
5.271e+00 2.013e+02 1.057e-02 3.017e-01 5.582e-02 9.375e-01 3
5.781e+00 2.030e+02 1.066e-02 3.008e-01 6.062e-02 9.398e-01 3
6.297e+00 2.047e+02 1.074e-02 2.999e-01 6.538e-02 9.421e-01 3
6.818e+00 2.065e+02 1.083e-02 2.990e-01 7.010e-02 9.444e-01 3
7.344e+00 2.082e+02 1.092e-02 2.982e-01 7.478e-02 9.467e-01 3
7.876e+00 2.100e+02 1.101e-02 2.974e-01 7.941e-02 9.490e-01 3
8.414e+00 2.118e+02 1.110e-02 2.966e-01 8.401e-02 9.514e-01 3
8.958e+00 2.137e+02 1.120e-02 2.959e-01 8.856e-02 9.537e-01 3
9.508e+00 2.155e+02 1.129e-02 2.952e-01 9.308e-02 9.561e-01 3
1.006e+01 2.174e+02 1.138e-02 2.945e-01 9.755e-02 9.584e-01 3
1.063e+01 2.193e+02 1.148e-02 2.938e-01 1.020e-01 9.608e-01 3
1.119e+01 2.213e+02 1.157e-02 2.932e-01 1.064e-01 9.631e-01 3
1.177e+01 2.232e+02 1.167e-02 2.926e-01 1.108e-01 9.655e-01 3
1.235e+01 2.252e+02 1.177e-02 2.920e-01 1.151e-01 9.679e-01 3
1.293e+01 2.272e+02 1.187e-02 2.915e-01 1.194e-01 9.703e-01 3
1.353e+01 2.293e+02 1.197e-02 2.909e-01 1.236e-01 9.726e-01 3
1.413e+01 2.313e+02 1.207e-02 2.904e-01 1.278e-01 9.750e-01 3
1.473e+01 2.334e+02 1.217e-02 2.899e-01 1.320e-01 9.774e-01 3
1.535e+01 2.355e+02 1.228e-02 2.895e-01 1.362e-01 9.798e-01 3
1.596e+01 2.377e+02 1.238e-02 2.890e-01 1.403e-01 9.822e-01 3
1.659e+01 2.398e+02 1.249e-02 2.886e-01 1.444e-01 9.847e-01 3
1.722e+01 2.420e+02 1.260e-02 2.882e-01 1.484e-01 9.871e-01 3
1.786e+01 2.443e+02 1.270e-02 2.878e-01 1.524e-01 9.895e-01 3
1.851e+01 2.465e+02 1.281e-02 2.874e-01 1.564e-01 9.919e-01 3
1.917e+01 2.488e+02 1.292e-02 2.870e-01 1.603e-01 9.944e-01 3
1.983e+01 2.511e+02 1.303e-02 2.867e-01 1.642e-01 9.968e-01 3
2.050e+01 2.534e+02 1.315e-02 2.864e-01 1.681e-01 9.993e-01 3
2.117e+01 2.558e+02 1.326e-02 2.860e-01 1.720e-01 1.002e+00 3
2.186e+01 2.582e+02 1.337e-02 2.857e-01 1.758e-01 1.004e+00 3
2.255e+01 2.606e+02 1.349e-02 2.855e-01 1.796e-01 1.007e+00 3
2.325e+01 2.630e+02 1.361e-02 2.852e-01 1.833e-01 1.009e+00 3
2.395e+01 2.655e+02 1.372e-02 2.849e-01 1.871e-01 1.012e+00 3
2.467e+01 2.680e+02 1.384e-02 2.847e-01 1.908e-01 1.014e+00 3
2.539e+01 2.706e+02 1.396e-02 2.845e-01 1.944e-01 1.017e+00 3
2.612e+01 2.732e+02 1.408e-02 2.842e-01 1.981e-01 1.019e+00 3
2.686e+01 2.758e+02 1.421e-02 2.840e-01 2.017e-01 1.022e+00 3
2.761e+01 2.784e+02 1.433e-02 2.838e-01 2.053e-01 1.024e+00 3
2.836e+01 2.810e+02 1.445e-02 2.836e-01 2.088e-01 1.027e+00 3
2.913e+01 2.837e+02 1.458e-02 2.835e-01 2.124e-01 1.029e+00 3
2.990e+01 2.865e+02 1.471e-02 2.833e-01 2.159e-01 1.032e+00 3
3.068e+01 2.892e+02 1.483e-02 2.831e-01 2.193e-01 1.034e+00 3
3.147e+01 2.920e+02 1.496e-02 2.830e-01 2.228e-01 1.037e+00 3
3.227e+01 2.948e+02 1.509e-02 2.829e-01 2.262e-01 1.039e+00 3
3.308e+01 2.977e+02 1.523e-02 2.827e-01 2.296e-01 1.042e+00 3
3.390e+01 3.006e+02 1.536e-02 2.826e-01 2.330e-01 1.044e+00 3
3.472e+01 3.035e+02 1.549e-02 2.825e-01 2.363e-01 1.047e+00 3
3.556e+01 3.065e+02 1.563e-02 2.824e-01 2.396e-01 1.050e+00 3
3.640e+01 3.095e+02 1.576e-02 2.823e-01 2.429e-01 1.052e+00 3
3.726e+01 3.125e+02 1.590e-02 2.822e-01 2.462e-01 1.055e+00 3
3.812e+01 3.155e+02 1.604e-02 2.821e-01 2.495e-01 1.057e+00 3
3.899e+01 3.186e+02 1.618e-02 2.820e-01 2.527e-01 1.060e+00 3
3.988e+01 3.218e+02 1.632e-02 2.820e-01 2.559e-01 1.063e+00 3
4.077e+01 3.249e+02 1.647e-02 2.819e-01 2.590e-01 1.065e+00 3
4.167e+01 3.281e+02 1.661e-02 2.819e-01 2.622e-01 1.068e+00 3
4.259e+01 3.314e+02 1.676e-02 2.818e-01 2.653e-01 1.070e+00 3
4.351e+01 3.347e+02 1.690e-02 2.818e-01 2.684e-01 1.073e+00 3
4.444e+01 3.380e+02 1.705e-02 2.817e-01 2.715e-01 1.076e+00 3
4.539e+01 3.413e+02 1.720e-02 2.817e-01 2.746e-01 1.078e+00 3
4.634e+01 3.447e+02 1.735e-02 2.817e-01 2.776e-01 1.081e+00 3
4.731e+01 3.481e+02 1.750e-02 2.817e-01 2.806e-01 1.084e+00 3
4.829e+01 3.516e+02 1.765e-02 2.817e-01 2.836e-01 1.086e+00 3
4.927e+01 3.551e+02 1.781e-02 2.817e-01 2.866e-01 1.089e+00 3
5.027e+01 3.587e+02 1.797e-02 2.817e-01 2.895e-01 1.092e+00 3
5.128e+01 3.623e+02 1.812e-02 2.817e-01 2.925e-01 1.094e+00 3
5.230e+01 3.659e+02 1.828e-02 2.817e-01 2.954e-01 1.097e+00 3
5.334e+01 3.695e+02 1.844e-02 2.817e-01 2.983e-01 1.100e+00 3
5.438e+01 3.733e+02 1.860e-02 2.817e-01 3.011e-01 1.102e+00 3
5.544e+01 3.770e+02 1.877e-02 2.817e-01 3.040e-01 1.105e+00 3
5.650e+01 3.808e+02 1.893e-02 2.817e-01 3.068e-01 1.108e+00 3
5.758e+01 3.846e+02 1.910e-02 2.818e-01 3.096e-01 1.111e+00 3
5.868e+01 3.885e+02 1.926e-02 2.818e-01 3.124e-01 1.113e+00 3
5.978e+01 3.924e+02 1.943e-02 2.818e-01 3.152e-01 1.116e+00 3
6.090e+01 3.964e+02 1.960e-02 2.819e-01 3.179e-01 1.119e+00 3
6.203e+01 4.004e+02 1.977e-02 2.819e-01 3.206e-01 1.122e+00 3
6.317e+01 4.044e+02 1.995e-02 2.820e-01 3.234e-01 1.124e+00 3
6.432e+01 4.085e+02 2.012e-02 2.820e-01 3.261e-01 1.127e+00 3
6.549e+01 4.127e+02 2.030e-02 2.821e-01 3.287e-01 1.130e+00 3
6.667e+01 4.169e+02 2.047e-02 2.821e-01 3.314e-01 1.133e+00 3
6.787e+01 4.211e+02 2.065e-02 2.822e-01 3.340e-01 1.135e+00 3
6.907e+01 4.254e+02 2.083e-02 2.822e-01 3.366e-01 1.138e+00 3
7.029e+01 4.297e+02 2.102e-02 2.823e-01 3.392e-01 1.141e+00 3
7.153e+01 4.341e+02 2.120e-02 2.824e-01 3.418e-01 1.144e+00 3
7.278e+01 4.385e+02 2.138e-02 2.824e-01 3.444e-01 1.147e+00 3
7.404e+01 4.430e+02 2.157e-02 2.825e-01 3.469e-01 1.149e+00 3
7.532e+01 4.475e+02 2.176e-02 2.826e-01 3.495e-01 1.152e+00 3
7.661e+01 4.520e+02 2.195e-02 2.827e-01 3.520e-01 1.155e+00 3
7.791e+01 4.567e+02 2.214e-02 2.828e-01 3.545e-01 1.158e+00 3
7.923e+01 4.613e+02 2.233e-02 2.828e-01 3.570e-01 1.161e+00 3
8.057e+01 4.661e+02 2.253e-02 2.829e-01 3.594e-01 1.164e+00 3
8.192e+01 4.708e+02 2.272e-02 2.830e-01 3.619e-01 1.166e+00 3
8.328e+01 4.756e+02 2.292e-02 2.831e-01 3.643e-01 1.169e+00 3
8.466e+01 4.805e+02 2.312e-02 2.832e-01 3.667e-01 1.172e+00 3
8.606e+01 4.854e+02 2.332e-02 2.833e-01 3.691e-01 1.175e+00 3
8.747e+01 4.904e+02 2.353e-02 2.834e-01 3.715e-01 1.178e+00 3
8.890e+01 4.955e+02 2.373e-02 2.835e-01 3.739e-01 1.181e+00 3
9.034e+01 5.006e+02 2.394e-02 2.836e-01 3.763e-01 1.184e+00 3
9.180e+01 5.057e+02 2.415e-02 2.837e-01 3.786e-01 1.187e+00 3
9.327e+01 5.109e+02 2.436e-02 2.838e-01 3.809e-01 1.190e+00 3
9.477e+01 5.162e+02 2.457e-02 2.839e-01 3.832e-01 1.193e+00 3
9.628e+01 5.215e+02 2.478e-02 2.840e-01 3.855e-01 1.195e+00 3
9.780e+01 5.268e+02 2.500e-02 2.841e-01 3.878e-01 1.198e+00 3
9.934e+01 5.323e+02 2.521e-02 2.842e-01 3.901e-01 1.201e+00 3
1.009e+02 5.378e+02 2.543e-02 2.843e-01 3.923e-01 1.204e+00 3
