 e p cs2
0 6.00000e-01 2.29860e-02 6.69128e-01
1 6.49582e-01 5.57445e-02 6.52671e-01
2 7.03261e-01 9.03574e-02 6.37325e-01
3 7.61377e-01 1.26969e-01 6.22973e-01
4 8.24294e-01 1.65731e-01 6.09517e-01
5 8.92411e-01 2.06809e-01 5.96874e-01
6 9.66157e-01 2.50377e-01 5.84969e-01
7 1.04600e+00 2.96622e-01 5.73740e-01
8 1.13244e+00 3.45746e-01 5.63130e-01
9 1.22602e+00 3.97964e-01 5.53092e-01
10 1.32733e+00 4.53508e-01 5.43580e-01
11 1.43702e+00 5.12625e-01 5.34558e-01
12 1.55577e+00 5.75584e-01 5.25989e-01
13 1.68433e+00 6.42672e-01 5.17845e-01
14 1.82352e+00 7.14199e-01 5.10095e-01
15 1.97421e+00 7.90497e-01 5.02715e-01
16 2.13735e+00 8.71925e-01 4.95683e-01
17 2.31397e+00 9.58870e-01 4.88976e-01
18 2.50519e+00 1.05175e+00 4.82577e-01
19 2.71221e+00 1.15100e+00 4.76467e-01
20 2.93634e+00 1.25713e+00 4.70630e-01
21 3.17899e+00 1.37063e+00 4.65052e-01
22 3.44169e+00 1.49209e+00 4.59718e-01
23 3.72610e+00 1.62210e+00 4.54616e-01
24 4.03401e+00 1.76131e+00 4.49733e-01
25 4.36737e+00 1.91044e+00 4.45060e-01
26 4.72828e+00 2.07024e+00 4.40585e-01
27 5.11901e+00 2.24153e+00 4.36298e-01
28 5.54203e+00 2.42521e+00 4.32192e-01
29 6.00000e+00 2.62222e+00 4.28256e-01
