 e p cs2
0 1.01000e+00 9.94754e-02 4.03215e-01
1 1.09309e+00 1.32829e-01 3.99718e-01
2 1.18301e+00 1.68623e-01 3.96468e-01
3 1.28033e+00 2.07056e-01 3.93438e-01
4 1.38566e+00 2.48343e-01 3.90604e-01
5 1.49965e+00 2.92714e-01 3.87948e-01
6 1.62302e+00 3.40417e-01 3.85453e-01
7 1.75654e+00 3.91722e-01 3.83103e-01
8 1.90104e+00 4.46917e-01 3.80887e-01
9 2.05743e+00 5.06316e-01 3.78793e-01
10 2.22669e+00 5.70258e-01 3.76812e-01
11 2.40986e+00 6.39106e-01 3.74935e-01
12 2.60811e+00 7.13256e-01 3.73154e-01
13 2.82267e+00 7.93133e-01 3.71463e-01
14 3.05488e+00 8.79199e-01 3.69856e-01
15 3.30619e+00 9.71952e-01 3.68326e-01
16 3.57817e+00 1.07193e+00 3.66870e-01
17 3.87253e+00 1.17971e+00 3.65482e-01
18 4.19111e+00 1.29593e+00 3.64158e-01
19 4.53589e+00 1.42126e+00 3.62894e-01
20 4.90904e+00 1.55645e+00 3.61688e-01
21 5.31288e+00 1.70227e+00 3.60536e-01
22 5.74995e+00 1.85961e+00 3.59434e-01
23 6.22297e+00 2.02937e+00 3.58381e-01
24 6.73490e+00 2.21258e+00 3.57373e-01
25 7.28895e+00 2.41031e+00 3.56409e-01
26 7.88858e+00 2.62374e+00 3.55486e-01
27 8.53754e+00 2.85414e+00 3.54602e-01
28 9.23988e+00 3.10289e+00 3.53755e-01
29 1.00000e+01 3.37147e+00 3.52943e-01
