 e p cs2
0 1.01000e+00 4.92302e-01 9.54998e-01
1 1.09309e+00 5.71468e-01 9.50612e-01
2 1.18301e+00 6.56741e-01 9.45968e-01
3 1.28033e+00 7.48563e-01 9.41059e-01
4 1.38566e+00 8.47408e-01 9.35876e-01
5 1.49965e+00 9.53777e-01 9.30414e-01
6 1.62302e+00 1.06821e+00 9.24666e-01
7 1.75654e+00 1.19126e+00 9.18629e-01
8 1.90104e+00 1.32354e+00 9.12299e-01
9 2.05743e+00 1.46570e+00 9.05675e-01
10 2.22669e+00 1.61840e+00 8.98756e-01
11 2.40986e+00 1.78237e+00 8.91543e-01
12 2.60811e+00 1.95836e+00 8.84039e-01
13 2.82267e+00 2.14720e+00 8.76250e-01
14 3.05488e+00 2.34973e+00 8.68182e-01
15 3.30619e+00 2.56686e+00 8.59842e-01
16 3.57817e+00 2.79954e+00 8.51242e-01
17 3.87253e+00 3.04880e+00 8.42394e-01
18 4.19111e+00 3.31570e+00 8.33310e-01
19 4.53589e+00 3.60140e+00 8.24007e-01
20 4.90904e+00 3.90708e+00 8.14502e-01
21 5.31288e+00 4.23404e+00 8.04812e-01
22 5.74995e+00 4.58361e+00 7.94957e-01
23 6.22297e+00 4.95726e+00 7.84959e-01
24 6.73490e+00 5.35648e+00 7.74838e-01
25 7.28895e+00 5.78292e+00 7.64615e-01
26 7.88858e+00 6.23828e+00 7.54315e-01
27 8.53754e+00 6.72439e+00 7.43958e-01
28 9.23988e+00 7.24321e+00 7.33567e-01
29 1.00000e+01 7.79680e+00 7.23165e-01
