 e p cs2
0 6.00000e-01 -1.32875e-01 3.33988e-01
1 6.49582e-01 -1.16317e-01 3.33946e-01
2 7.03261e-01 -9.83916e-02 3.33909e-01
3 7.61377e-01 -7.89875e-02 3.33875e-01
4 8.24294e-01 -5.79818e-02 3.33845e-01
5 8.92411e-01 -3.52423e-02 3.33817e-01
6 9.66157e-01 -1.06256e-02 3.33791e-01
7 1.04600e+00 1.60233e-02 3.33768e-01
8 1.13244e+00 4.48725e-02 3.33746e-01
9 1.22602e+00 7.61037e-02 3.33725e-01
10 1.32733e+00 1.09914e-01 3.33707e-01
11 1.43702e+00 1.46516e-01 3.33689e-01
12 1.55577e+00 1.86140e-01 3.33672e-01
13 1.68433e+00 2.29037e-01 3.33657e-01
14 1.82352e+00 2.75477e-01 3.33642e-01
15 1.97421e+00 3.25753e-01 3.33628e-01
16 2.13735e+00 3.80180e-01 3.33615e-01
17 2.31397e+00 4.39104e-01 3.33603e-01
18 2.50519e+00 5.02894e-01 3.33591e-01
19 2.71221e+00 5.71953e-01 3.33580e-01
20 2.93634e+00 6.46716e-01 3.33570e-01
21 3.17899e+00 7.27656e-01 3.33560e-01
22 3.44169e+00 8.15281e-01 3.33550e-01
23 3.72610e+00 9.10145e-01 3.33541e-01
24 4.03401e+00 1.01285e+00 3.33533e-01
25 4.36737e+00 1.12403e+00 3.33524e-01
26 4.72828e+00 1.24440e+00 3.33516e-01
27 5.11901e+00 1.37471e+00 3.33509e-01
28 5.54203e+00 1.51579e+00 3.33502e-01
29 6.00000e+00 1.66852e+00 3.33495e-01
