 e p cs2
0 3.00000e+02 1.14930e+01 6.69128e-01
1 3.24791e+02 2.78722e+01 6.52671e-01
2 3.51631e+02 4.51787e+01 6.37325e-01
3 3.80688e+02 6.34843e+01 6.22973e-01
4 4.12147e+02 8.28656e+01 6.09517e-01
5 4.46206e+02 1.03404e+02 5.96874e-01
6 4.83079e+02 1.25188e+02 5.84969e-01
7 5.22999e+02 1.48311e+02 5.73740e-01
8 5.66218e+02 1.72873e+02 5.63130e-01
9 6.13008e+02 1.98982e+02 5.53092e-01
10 6.63665e+02 2.26754e+02 5.43580e-01
11 7.18508e+02 2.56313e+02 5.34558e-01
12 7.77883e+02 2.87792e+02 5.25989e-01
13 8.42165e+02 3.21336e+02 5.17845e-01
14 9.11759e+02 3.57100e+02 5.10095e-01
15 9.87103e+02 3.95249e+02 5.02715e-01
16 1.06867e+03 4.35963e+02 4.95683e-01
17 1.15699e+03 4.79435e+02 4.88976e-01
18 1.25260e+03 5.25873e+02 4.82577e-01
19 1.35611e+03 5.75502e+02 4.76467e-01
20 1.46817e+03 6.28563e+02 4.70630e-01
21 1.58950e+03 6.85317e+02 4.65052e-01
22 1.72085e+03 7.46044e+02 4.59718e-01
23 1.86305e+03 8.11048e+02 4.54616e-01
24 2.01701e+03 8.80656e+02 4.49733e-01
25 2.18369e+03 9.55219e+02 4.45060e-01
26 2.36414e+03 1.03512e+03 4.40585e-01
27 2.55950e+03 1.12077e+03 4.36298e-01
28 2.77101e+03 1.21260e+03 4.32192e-01
29 3.00000e+03 1.31111e+03 4.28256e-01
