e p cs2
5.4691e+02 4.7082e-02 3.3322e-01
5.5639e+02 3.2075e+00 3.3323e-01
5.6604e+02 6.4226e+00 3.3323e-01
5.7586e+02 9.6936e+00 3.3323e-01
5.8585e+02 1.3021e+01 3.3323e-01
5.9600e+02 1.6407e+01 3.3323e-01
6.0634e+02 1.9851e+01 3.3323e-01
6.1686e+02 2.3355e+01 3.3323e-01
6.2755e+02 2.6919e+01 3.3323e-01
6.3844e+02 3.0546e+01 3.3323e-01
6.4951e+02 3.4235e+01 3.3324e-01
6.6077e+02 3.7989e+01 3.3324e-01
6.7223e+02 4.1807e+01 3.3324e-01
6.8389e+02 4.5692e+01 3.3324e-01
6.9575e+02 4.9644e+01 3.3324e-01
7.0781e+02 5.3664e+01 3.3324e-01
7.2008e+02 5.7755e+01 3.3324e-01
7.3257e+02 6.1916e+01 3.3324e-01
7.4528e+02 6.6149e+01 3.3324e-01
7.5820e+02 7.0456e+01 3.3324e-01
7.7135e+02 7.4838e+01 3.3325e-01
7.8472e+02 7.9295e+01 3.3325e-01
7.9833e+02 8.3830e+01 3.3325e-01
8.1218e+02 8.8444e+01 3.3325e-01
8.2626e+02 9.3138e+01 3.3325e-01
8.4059e+02 9.7912e+01 3.3325e-01
8.5517e+02 1.0277e+02 3.3325e-01
8.7000e+02 1.0771e+02 3.3325e-01
8.8508e+02 1.1274e+02 3.3325e-01
9.0043e+02 1.1786e+02 3.3325e-01
9.1605e+02 1.2306e+02 3.3325e-01
9.3193e+02 1.2835e+02 3.3325e-01
9.4809e+02 1.3374e+02 3.3326e-01
9.6453e+02 1.3922e+02 3.3326e-01
9.8126e+02 1.4479e+02 3.3326e-01
9.9828e+02 1.5046e+02 3.3326e-01
1.0156e+03 1.5623e+02 3.3326e-01
1.0332e+03 1.6210e+02 3.3326e-01
1.0511e+03 1.6807e+02 3.3326e-01
1.0693e+03 1.7415e+02 3.3326e-01
1.0879e+03 1.8033e+02 3.3326e-01
1.1068e+03 1.8661e+02 3.3326e-01
1.1259e+03 1.9301e+02 3.3326e-01
1.1455e+03 1.9952e+02 3.3326e-01
1.1653e+03 2.0614e+02 3.3326e-01
1.1855e+03 2.1287e+02 3.3327e-01
1.2061e+03 2.1972e+02 3.3327e-01
1.2270e+03 2.2669e+02 3.3327e-01
1.2483e+03 2.3379e+02 3.3327e-01
1.2699e+03 2.4100e+02 3.3327e-01
1.2920e+03 2.4834e+02 3.3327e-01
1.3144e+03 2.5581e+02 3.3327e-01
1.3372e+03 2.6340e+02 3.3327e-01
1.3604e+03 2.7113e+02 3.3327e-01
1.3839e+03 2.7899e+02 3.3327e-01
1.4079e+03 2.8699e+02 3.3327e-01
1.4324e+03 2.9513e+02 3.3327e-01
1.4572e+03 3.0341e+02 3.3327e-01
1.4825e+03 3.1183e+02 3.3327e-01
1.5082e+03 3.2040e+02 3.3327e-01
1.5343e+03 3.2911e+02 3.3327e-01
1.5609e+03 3.3798e+02 3.3327e-01
1.5880e+03 3.4700e+02 3.3328e-01
1.6155e+03 3.5618e+02 3.3328e-01
1.6436e+03 3.6552e+02 3.3328e-01
1.6721e+03 3.7501e+02 3.3328e-01
1.7011e+03 3.8468e+02 3.3328e-01
1.7306e+03 3.9451e+02 3.3328e-01
1.7606e+03 4.0451e+02 3.3328e-01
1.7911e+03 4.1469e+02 3.3328e-01
1.8222e+03 4.2504e+02 3.3328e-01
1.8538e+03 4.3557e+02 3.3328e-01
1.8859e+03 4.4628e+02 3.3328e-01
1.9186e+03 4.5718e+02 3.3328e-01
1.9519e+03 4.6827e+02 3.3328e-01
1.9857e+03 4.7955e+02 3.3328e-01
2.0202e+03 4.9103e+02 3.3328e-01
2.0552e+03 5.0271e+02 3.3328e-01
2.0908e+03 5.1458e+02 3.3328e-01
2.1271e+03 5.2667e+02 3.3328e-01
2.1640e+03 5.3896e+02 3.3328e-01
2.2015e+03 5.5147e+02 3.3328e-01
2.2397e+03 5.6419e+02 3.3329e-01
2.2785e+03 5.7714e+02 3.3329e-01
2.3180e+03 5.9031e+02 3.3329e-01
2.3582e+03 6.0370e+02 3.3329e-01
2.3991e+03 6.1733e+02 3.3329e-01
2.4407e+03 6.3120e+02 3.3329e-01
2.4831e+03 6.4531e+02 3.3329e-01
2.5261e+03 6.5966e+02 3.3329e-01
2.5699e+03 6.7426e+02 3.3329e-01
2.6145e+03 6.8911e+02 3.3329e-01
2.6598e+03 7.0422e+02 3.3329e-01
2.7060e+03 7.1959e+02 3.3329e-01
2.7529e+03 7.3523e+02 3.3329e-01
2.8006e+03 7.5115e+02 3.3329e-01
2.8492e+03 7.6733e+02 3.3329e-01
2.8986e+03 7.8380e+02 3.3329e-01
2.9489e+03 8.0055e+02 3.3329e-01
3.0000e+03 8.1760e+02 3.3329e-01
