p e cs2 gamma
5.1219577e-01 1.9516906e+02 3.1165275e-01 1.1906502e+02
1.0749171e+00 1.9697466e+02 3.1171618e-01 5.7432575e+01
1.6430767e+00 1.9879697e+02 3.1184308e-01 3.8041950e+01
2.2167249e+00 2.0063614e+02 3.1196891e-01 2.8548326e+01
2.7959129e+00 2.0249232e+02 3.1209370e-01 2.2915293e+01
3.3806920e+00 2.0436567e+02 3.1221744e-01 1.9186024e+01
3.9711142e+00 2.0625636e+02 3.1234017e-01 1.6535028e+01
4.5672318e+00 2.0816454e+02 3.1246188e-01 1.4553798e+01
5.1690979e+00 2.1009037e+02 3.1258260e-01 1.3017042e+01
5.7767657e+00 2.1203401e+02 3.1270234e-01 1.1790324e+01
6.3902894e+00 2.1399564e+02 3.1282111e-01 1.0788459e+01
7.0097232e+00 2.1597542e+02 3.1293892e-01 9.9548482e+00
7.6351221e+00 2.1797351e+02 3.1305579e-01 9.2504203e+00
8.2665417e+00 2.1999009e+02 3.1317172e-01 8.6473311e+00
8.9040378e+00 2.2202533e+02 3.1328673e-01 8.1252021e+00
9.5476669e+00 2.2407939e+02 3.1340084e-01 7.6687756e+00
1.0197486e+01 2.2615246e+02 3.1351404e-01 7.2664012e+00
1.0853553e+01 2.2824471e+02 3.1362636e-01 6.9090292e+00
1.1515926e+01 2.3035631e+02 3.1373781e-01 6.5895233e+00
1.2184663e+01 2.3248745e+02 3.1384839e-01 6.3021803e+00
1.2859825e+01 2.3463830e+02 3.1395811e-01 6.0423876e+00
1.3541469e+01 2.3680905e+02 3.1406700e-01 5.8063741e+00
1.4229658e+01 2.3899989e+02 3.1417505e-01 5.5910273e+00
1.4924451e+01 2.4121099e+02 3.1428227e-01 5.3937549e+00
1.5625910e+01 2.4344255e+02 3.1438869e-01 5.2123807e+00
1.6334098e+01 2.4569476e+02 3.1449430e-01 5.0450647e+00
1.7049077e+01 2.4796780e+02 3.1459912e-01 4.8902399e+00
1.7770910e+01 2.5026187e+02 3.1470315e-01 4.7465640e+00
1.8499660e+01 2.5257716e+02 3.1480640e-01 4.6128804e+00
1.9235394e+01 2.5491388e+02 3.1490889e-01 4.4881870e+00
1.9978174e+01 2.5727221e+02 3.1501063e-01 4.3716116e+00
2.0728068e+01 2.5965236e+02 3.1511161e-01 4.2623909e+00
2.1485141e+01 2.6205453e+02 3.1521186e-01 4.1598548e+00
2.2249460e+01 2.6447892e+02 3.1531137e-01 4.0634118e+00
2.3021093e+01 2.6692574e+02 3.1541016e-01 3.9725385e+00
2.3800108e+01 2.6939520e+02 3.1550823e-01 3.8867696e+00
2.4586573e+01 2.7188751e+02 3.1560560e-01 3.8056902e+00
2.5380558e+01 2.7440287e+02 3.1570227e-01 3.7289294e+00
2.6182134e+01 2.7694151e+02 3.1579824e-01 3.6561540e+00
2.6991370e+01 2.7950363e+02 3.1589353e-01 3.5870646e+00
2.7808338e+01 2.8208945e+02 3.1598815e-01 3.5213909e+00
2.8633111e+01 2.8469920e+02 3.1608210e-01 3.4588884e+00
2.9465760e+01 2.8733309e+02 3.1617538e-01 3.3993352e+00
3.0306360e+01 2.8999134e+02 3.1626801e-01 3.3425300e+00
3.1154984e+01 2.9267420e+02 3.1635999e-01 3.2882892e+00
3.2011707e+01 2.9538187e+02 3.1645133e-01 3.2364451e+00
3.2876605e+01 2.9811459e+02 3.1654204e-01 3.1868444e+00
3.3749754e+01 3.0087259e+02 3.1663212e-01 3.1393467e+00
3.4631231e+01 3.0365611e+02 3.1672158e-01 3.0938230e+00
3.5521113e+01 3.0646538e+02 3.1681042e-01 3.0501545e+00
3.6419479e+01 3.0930064e+02 3.1689866e-01 3.0082319e+00
3.7326408e+01 3.1216213e+02 3.1698629e-01 2.9679543e+00
3.8241980e+01 3.1505009e+02 3.1707333e-01 2.9292284e+00
3.9166274e+01 3.1796477e+02 3.1715978e-01 2.8919678e+00
4.0099373e+01 3.2090642e+02 3.1724565e-01 2.8560924e+00
4.1041359e+01 3.2387528e+02 3.1733093e-01 2.8215278e+00
4.1992315e+01 3.2687161e+02 3.1741565e-01 2.7882050e+00
4.2952323e+01 3.2989565e+02 3.1749980e-01 2.7560595e+00
4.3921469e+01 3.3294768e+02 3.1758339e-01 2.7250314e+00
4.4899837e+01 3.3602794e+02 3.1766643e-01 2.6950647e+00
4.5887514e+01 3.3913670e+02 3.1774891e-01 2.6661070e+00
4.6884587e+01 3.4227422e+02 3.1783085e-01 2.6381095e+00
4.7891142e+01 3.4544076e+02 3.1791226e-01 2.6110263e+00
4.8907269e+01 3.4863660e+02 3.1799313e-01 2.5848145e+00
4.9933057e+01 3.5186201e+02 3.1807347e-01 2.5594337e+00
5.0968595e+01 3.5511725e+02 3.1815329e-01 2.5348461e+00
5.2013975e+01 3.5840261e+02 3.1823259e-01 2.5110162e+00
5.3069288e+01 3.6171837e+02 3.1831137e-01 2.4879103e+00
5.4134628e+01 3.6506480e+02 3.1838965e-01 2.4654970e+00
5.5210087e+01 3.6844219e+02 3.1846743e-01 2.4437464e+00
5.6295759e+01 3.7185083e+02 3.1854470e-01 2.4226306e+00
5.7391741e+01 3.7529100e+02 3.1862148e-01 2.4021229e+00
5.8498128e+01 3.7876300e+02 3.1869777e-01 2.3821984e+00
5.9615017e+01 3.8226712e+02 3.1877358e-01 2.3628334e+00
6.0742507e+01 3.8580366e+02 3.1884891e-01 2.3440053e+00
6.1880695e+01 3.8937292e+02 3.1892376e-01 2.3256930e+00
6.3029682e+01 3.9297520e+02 3.1899813e-01 2.3078762e+00
6.4189568e+01 3.9661080e+02 3.1907204e-01 2.2905360e+00
6.5360455e+01 4.0028004e+02 3.1914549e-01 2.2736540e+00
6.6542446e+01 4.0398322e+02 3.1921848e-01 2.2572132e+00
6.7735644e+01 4.0772067e+02 3.1929101e-01 2.2411970e+00
6.8940154e+01 4.1149269e+02 3.1936309e-01 2.2255900e+00
7.0156081e+01 4.1529961e+02 3.1943472e-01 2.2103772e+00
7.1383531e+01 4.1914175e+02 3.1950591e-01 2.1955446e+00
7.2622612e+01 4.2301943e+02 3.1957667e-01 2.1810787e+00
7.3873432e+01 4.2693299e+02 3.1964698e-01 2.1669666e+00
7.5136101e+01 4.3088275e+02 3.1971687e-01 2.1531961e+00
7.6410730e+01 4.3486906e+02 3.1978632e-01 2.1397555e+00
7.7697429e+01 4.3889224e+02 3.1985536e-01 2.1266337e+00
7.8996312e+01 4.4295265e+02 3.1992397e-01 2.1138200e+00
8.0307491e+01 4.4705062e+02 3.1999216e-01 2.1013041e+00
8.1631083e+01 4.5118650e+02 3.2005995e-01 2.0890764e+00
8.2967201e+01 4.5536064e+02 3.2012732e-01 2.0771274e+00
8.4315963e+01 4.5957341e+02 3.2019428e-01 2.0654483e+00
8.5677488e+01 4.6382514e+02 3.2026085e-01 2.0540306e+00
8.7051893e+01 4.6811621e+02 3.2032701e-01 2.0428659e+00
8.8439299e+01 4.7244698e+02 3.2039278e-01 2.0319464e+00
8.9839827e+01 4.7681782e+02 3.2045815e-01 2.0212646e+00
9.1253600e+01 4.8122909e+02 3.2052313e-01 2.0108132e+00
