p e n/n0 cs2 p_norm muB X
8.779e-05 6.479e+03 1.545e-01 1.245e+00 4.392e-08 2.011e+00 1
1.246e+00 6.480e+03 1.546e-01 1.236e+00 6.229e-04 2.011e+00 1
2.493e+00 6.481e+03 1.546e-01 1.228e+00 1.245e-03 2.012e+00 1
3.740e+00 6.482e+03 1.546e-01 1.221e+00 1.867e-03 2.012e+00 1
4.987e+00 6.483e+03 1.546e-01 1.213e+00 2.487e-03 2.012e+00 1
6.235e+00 6.484e+03 1.546e-01 1.205e+00 3.107e-03 2.013e+00 1
7.483e+00 6.485e+03 1.547e-01 1.198e+00 3.726e-03 2.013e+00 1
8.732e+00 6.486e+03 1.547e-01 1.190e+00 4.345e-03 2.014e+00 1
9.981e+00 6.488e+03 1.547e-01 1.183e+00 4.963e-03 2.014e+00 1
1.123e+01 6.489e+03 1.547e-01 1.176e+00 5.580e-03 2.014e+00 1
1.248e+01 6.490e+03 1.548e-01 1.168e+00 6.196e-03 2.015e+00 1
1.373e+01 6.491e+03 1.548e-01 1.161e+00 6.811e-03 2.015e+00 1
1.498e+01 6.492e+03 1.548e-01 1.155e+00 7.426e-03 2.015e+00 1
1.623e+01 6.493e+03 1.549e-01 1.148e+00 8.040e-03 2.016e+00 1
1.749e+01 6.494e+03 1.549e-01 1.141e+00 8.654e-03 2.016e+00 1
1.874e+01 6.495e+03 1.549e-01 1.134e+00 9.266e-03 2.017e+00 1
1.999e+01 6.496e+03 1.549e-01 1.128e+00 9.878e-03 2.017e+00 1
2.124e+01 6.497e+03 1.550e-01 1.121e+00 1.049e-02 2.017e+00 1
2.250e+01 6.498e+03 1.550e-01 1.115e+00 1.110e-02 2.018e+00 1
2.375e+01 6.500e+03 1.550e-01 1.109e+00 1.171e-02 2.018e+00 1
2.501e+01 6.501e+03 1.550e-01 1.102e+00 1.232e-02 2.019e+00 1
2.626e+01 6.502e+03 1.551e-01 1.096e+00 1.293e-02 2.019e+00 1
2.752e+01 6.503e+03 1.551e-01 1.090e+00 1.353e-02 2.019e+00 1
2.877e+01 6.504e+03 1.551e-01 1.084e+00 1.414e-02 2.020e+00 1
3.003e+01 6.505e+03 1.551e-01 1.078e+00 1.475e-02 2.020e+00 1
3.129e+01 6.506e+03 1.552e-01 1.073e+00 1.535e-02 2.021e+00 1
3.254e+01 6.508e+03 1.552e-01 1.067e+00 1.596e-02 2.021e+00 1
3.380e+01 6.509e+03 1.552e-01 1.061e+00 1.656e-02 2.021e+00 1
3.506e+01 6.510e+03 1.553e-01 1.055e+00 1.717e-02 2.022e+00 1
3.632e+01 6.511e+03 1.553e-01 1.050e+00 1.777e-02 2.022e+00 1
3.758e+01 6.512e+03 1.553e-01 1.044e+00 1.837e-02 2.022e+00 1
3.884e+01 6.514e+03 1.553e-01 1.039e+00 1.897e-02 2.023e+00 1
4.010e+01 6.515e+03 1.554e-01 1.034e+00 1.957e-02 2.023e+00 1
4.136e+01 6.516e+03 1.554e-01 1.028e+00 2.017e-02 2.024e+00 1
4.262e+01 6.517e+03 1.554e-01 1.023e+00 2.077e-02 2.024e+00 1
4.388e+01 6.519e+03 1.555e-01 1.018e+00 2.137e-02 2.024e+00 1
4.514e+01 6.520e+03 1.555e-01 1.013e+00 2.197e-02 2.025e+00 1
4.641e+01 6.521e+03 1.555e-01 1.008e+00 2.256e-02 2.025e+00 1
4.767e+01 6.522e+03 1.555e-01 1.003e+00 2.316e-02 2.026e+00 1
4.893e+01 6.524e+03 1.556e-01 9.982e-01 2.376e-02 2.026e+00 1
5.020e+01 6.525e+03 1.556e-01 9.933e-01 2.435e-02 2.026e+00 1
5.146e+01 6.526e+03 1.556e-01 9.885e-01 2.494e-02 2.027e+00 1
5.273e+01 6.527e+03 1.557e-01 9.838e-01 2.554e-02 2.027e+00 1
5.399e+01 6.529e+03 1.557e-01 9.791e-01 2.613e-02 2.028e+00 1
5.526e+01 6.530e+03 1.557e-01 9.745e-01 2.672e-02 2.028e+00 1
5.652e+01 6.531e+03 1.558e-01 9.699e-01 2.731e-02 2.028e+00 1
5.779e+01 6.533e+03 1.558e-01 9.654e-01 2.791e-02 2.029e+00 1
5.906e+01 6.534e+03 1.558e-01 9.609e-01 2.850e-02 2.029e+00 1
6.033e+01 6.535e+03 1.559e-01 9.565e-01 2.909e-02 2.029e+00 1
6.160e+01 6.537e+03 1.559e-01 9.521e-01 2.967e-02 2.030e+00 1
6.286e+01 6.538e+03 1.559e-01 9.478e-01 3.026e-02 2.030e+00 1
6.413e+01 6.539e+03 1.559e-01 9.435e-01 3.085e-02 2.031e+00 1
6.540e+01 6.541e+03 1.560e-01 9.393e-01 3.144e-02 2.031e+00 1
6.667e+01 6.542e+03 1.560e-01 9.351e-01 3.202e-02 2.031e+00 1
6.795e+01 6.543e+03 1.560e-01 9.310e-01 3.261e-02 2.032e+00 1
6.922e+01 6.545e+03 1.561e-01 9.269e-01 3.319e-02 2.032e+00 1
7.049e+01 6.546e+03 1.561e-01 9.228e-01 3.378e-02 2.033e+00 1
7.176e+01 6.547e+03 1.561e-01 9.188e-01 3.436e-02 2.033e+00 1
7.303e+01 6.549e+03 1.562e-01 9.149e-01 3.494e-02 2.033e+00 1
7.431e+01 6.550e+03 1.562e-01 9.109e-01 3.552e-02 2.034e+00 1
7.558e+01 6.552e+03 1.562e-01 9.071e-01 3.611e-02 2.034e+00 1
7.686e+01 6.553e+03 1.563e-01 9.032e-01 3.669e-02 2.035e+00 1
7.813e+01 6.554e+03 1.563e-01 8.994e-01 3.727e-02 2.035e+00 1
7.941e+01 6.556e+03 1.563e-01 8.957e-01 3.785e-02 2.035e+00 1
8.068e+01 6.557e+03 1.564e-01 8.919e-01 3.842e-02 2.036e+00 1
8.196e+01 6.559e+03 1.564e-01 8.883e-01 3.900e-02 2.036e+00 1
8.324e+01 6.560e+03 1.564e-01 8.846e-01 3.958e-02 2.037e+00 1
8.452e+01 6.562e+03 1.565e-01 8.810e-01 4.016e-02 2.037e+00 1
8.579e+01 6.563e+03 1.565e-01 8.774e-01 4.073e-02 2.037e+00 1
8.707e+01 6.564e+03 1.565e-01 8.739e-01 4.131e-02 2.038e+00 1
8.835e+01 6.566e+03 1.566e-01 8.704e-01 4.188e-02 2.038e+00 1
8.963e+01 6.567e+03 1.566e-01 8.669e-01 4.246e-02 2.038e+00 1
9.091e+01 6.569e+03 1.566e-01 8.635e-01 4.303e-02 2.039e+00 1
9.219e+01 6.570e+03 1.567e-01 8.601e-01 4.360e-02 2.039e+00 1
9.347e+01 6.572e+03 1.567e-01 8.567e-01 4.417e-02 2.040e+00 1
9.476e+01 6.573e+03 1.568e-01 8.534e-01 4.475e-02 2.040e+00 1
9.604e+01 6.575e+03 1.568e-01 8.501e-01 4.532e-02 2.040e+00 1
9.732e+01 6.576e+03 1.568e-01 8.468e-01 4.589e-02 2.041e+00 1
9.861e+01 6.578e+03 1.569e-01 8.436e-01 4.646e-02 2.041e+00 1
9.989e+01 6.579e+03 1.569e-01 8.404e-01 4.702e-02 2.042e+00 1
1.012e+02 6.581e+03 1.569e-01 8.372e-01 4.759e-02 2.042e+00 1
1.025e+02 6.583e+03 1.570e-01 8.341e-01 4.816e-02 2.042e+00 1
1.037e+02 6.584e+03 1.570e-01 8.310e-01 4.873e-02 2.043e+00 1
1.050e+02 6.586e+03 1.570e-01 8.279e-01 4.929e-02 2.043e+00 1
1.063e+02 6.587e+03 1.571e-01 8.248e-01 4.986e-02 2.044e+00 1
1.076e+02 6.589e+03 1.571e-01 8.218e-01 5.042e-02 2.044e+00 1
1.089e+02 6.590e+03 1.572e-01 8.188e-01 5.099e-02 2.044e+00 1
1.102e+02 6.592e+03 1.572e-01 8.158e-01 5.155e-02 2.045e+00 1
1.115e+02 6.593e+03 1.572e-01 8.129e-01 5.211e-02 2.045e+00 1
1.128e+02 6.595e+03 1.573e-01 8.100e-01 5.268e-02 2.046e+00 1
