p e n
1.1860000e-16 6.4160000e-10 4.3310000e-12
6.0810000e-15 5.8250000e-09 3.9340000e-11
3.1000000e-14 1.4630000e-08 9.8810000e-11
1.5170000e-13 3.6750000e-08 2.4830000e-10
7.1830000e-13 9.2280000e-08 6.2350000e-10
3.2860000e-12 2.3190000e-07 1.5660000e-09
1.4470000e-11 5.8250000e-07 3.9340000e-09
6.0880000e-11 1.4630000e-06 9.8810000e-09
2.4410000e-10 3.6760000e-06 2.4830000e-08
3.2820000e-10 4.6270000e-06 3.1250000e-08
8.9550000e-10 9.2330000e-06 6.2350000e-08
2.3920000e-09 1.8420000e-05 1.2440000e-07
6.2780000e-09 3.6760000e-05 2.4820000e-07
1.6250000e-08 7.3370000e-05 4.9530000e-07
4.1660000e-08 1.4640000e-04 9.8810000e-07
5.4530000e-08 1.8430000e-04 1.2440000e-06
1.0170000e-07 2.9220000e-04 1.9720000e-06
1.8900000e-07 4.6310000e-04 3.1250000e-06
2.5770000e-07 5.8300000e-04 3.9340000e-06
3.1430000e-07 7.3420000e-04 4.9520000e-06
4.2810000e-07 9.2450000e-04 6.2350000e-06
7.9380000e-07 1.4650000e-03 9.8810000e-06
1.4700000e-06 2.3230000e-03 1.5660000e-05
2.7220000e-06 3.6830000e-03 2.4820000e-05
3.5330000e-06 4.6370000e-03 3.1250000e-05
4.8070000e-06 5.8360000e-03 3.9340000e-05
6.5400000e-06 7.3530000e-03 4.9520000e-05
8.8930000e-06 9.2560000e-03 6.2350000e-05
1.2090000e-05 1.1660000e-02 7.8500000e-05
1.5620000e-05 1.4680000e-02 9.8810000e-05
2.1240000e-05 1.8480000e-02 1.2440000e-04
2.8880000e-05 2.3280000e-02 1.5660000e-04
3.1730000e-05 2.9310000e-02 1.9720000e-04
5.0480000e-05 3.6920000e-02 2.4820000e-04
6.8650000e-05 4.6490000e-02 3.1250000e-04
9.3300000e-05 5.8520000e-02 3.9340000e-04
1.2690000e-04 7.3760000e-02 4.9530000e-04
1.6210000e-04 9.2840000e-02 6.2350000e-04
1.8050000e-04 1.0290000e-01 6.9060000e-04
2.0530000e-04 1.1690000e-01 7.8500000e-04
2.7910000e-04 1.4730000e-01 9.8810000e-04
3.6300000e-04 1.8550000e-01 1.2440000e-03
4.8710000e-04 2.3980000e-01 1.6080000e-03
4.9240000e-04 2.4880000e-01 1.6690000e-03
5.2120000e-04 2.9170000e-01 1.9540000e-03
5.6780000e-04 3.6880000e-01 2.4690000e-03
6.1350000e-04 4.4430000e-01 2.9740000e-03
6.7590000e-04 5.4270000e-01 3.6330000e-03
7.6010000e-04 6.6730000e-01 4.4640000e-03
8.7310000e-04 8.2070000e-01 5.4910000e-03
9.9440000e-04 9.3900000e-01 6.2500000e-03
5.7990000e-03 3.7620000e+00 2.5000000e-02
1.1660000e-02 7.5300000e+00 5.0000000e-02
2.0850000e-02 1.1300000e+01 7.5000000e-02
3.2160000e-02 1.5080000e+01 1.0000000e-01
4.5150000e-02 1.8860000e+01 1.2500000e-01
5.9610000e-02 2.2640000e+01 1.5000000e-01
7.5440000e-02 2.6420000e+01 1.7500000e-01
9.2600000e-02 3.0210000e+01 2.0000000e-01
1.1100000e-01 3.4000000e+01 2.2500000e-01
1.3080000e-01 3.7790000e+01 2.5000000e-01
1.5180000e-01 4.1580000e+01 2.7500000e-01
1.7420000e-01 4.5380000e+01 3.0000000e-01
1.9800000e-01 4.9180000e+01 3.2500000e-01
2.2310000e-01 5.2980000e+01 3.5000000e-01
2.4970000e-01 5.6780000e+01 3.7500000e-01
2.7770000e-01 6.0580000e+01 4.0000000e-01
3.0730000e-01 6.4380000e+01 4.2500000e-01
3.3850000e-01 6.8190000e+01 4.5000000e-01
3.7130000e-01 7.2000000e+01 4.7500000e-01
4.0540000e-01 7.5810000e+01 5.0000000e-01
4.4700000e-01 8.7900000e+01 5.7920000e-01
7.1620000e-01 1.0820000e+02 7.1240000e-01
9.0940000e-01 1.1950000e+02 7.8610000e-01
1.1540000e+00 1.3150000e+02 8.6460000e-01
1.4640000e+00 1.4440000e+02 9.4830000e-01
1.8510000e+00 1.5800000e+02 1.0371000e+00
2.1630000e+00 1.6780000e+02 1.1000000e+00
2.4650000e+00 1.8330000e+02 1.2000000e+00
2.7800000e+00 1.9880000e+02 1.3000000e+00
3.1060000e+00 2.1430000e+02 1.4000000e+00
3.4450000e+00 2.2980000e+02 1.5000000e+00
3.7950000e+00 2.4540000e+02 1.6000000e+00
4.1570000e+00 2.6100000e+02 1.7000000e+00
4.5290000e+00 2.7660000e+02 1.8000000e+00
4.9110000e+00 2.9220000e+02 1.9000000e+00
5.3040000e+00 3.0790000e+02 2.0000000e+00
5.7070000e+00 3.2350000e+02 2.1000000e+00
6.1190000e+00 3.3920000e+02 2.2000000e+00
6.5410000e+00 3.5490000e+02 2.3000000e+00
6.9720000e+00 3.7060000e+02 2.4000000e+00
7.4130000e+00 3.8640000e+02 2.5000000e+00
9.3790000e+00 4.0220000e+02 2.6000000e+00
1.1760000e+01 4.1800000e+02 2.7000000e+00
1.4630000e+01 4.3400000e+02 2.8000000e+00
1.8060000e+01 4.5010000e+02 2.9000000e+00
2.2130000e+01 4.6630000e+02 3.0000000e+00
2.6940000e+01 4.8270000e+02 3.1000000e+00
3.2600000e+01 4.9920000e+02 3.2000000e+00
3.9210000e+01 5.1590000e+02 3.3000000e+00
4.6900000e+01 5.3280000e+02 3.4000000e+00
5.5810000e+01 5.5000000e+02 3.5000000e+00
6.6090000e+01 5.6750000e+02 3.6000000e+00
7.7900000e+01 5.8520000e+02 3.7000000e+00
9.1410000e+01 6.0330000e+02 3.8000000e+00
1.0680000e+02 6.2180000e+02 3.9000000e+00
1.2430000e+02 6.4070000e+02 4.0000000e+00
