e p
2184.74 99.9025
2180.23 99.0188
2165.54 96.2325
2147.89 92.843
2147.88 92.8728
2134.43 90.3083
2130.51 89.5868
2126.54 88.833
2101.33 84.2116
2079.42 80.1772
2076.01 79.5702
2072.55 78.9367
2046.25 74.2824
2024.11 70.3471
2021.23 69.8539
2018.27 69.33
1990.71 64.6237
1968.5 60.8181
1966.14 60.4287
1963.71 60.0128
1934.93 55.2764
1912.59 51.5901
1910.72 51.293
1908.85 50.9851
1878.45 46.1682
1856.38 42.6631
1855.04 42.4578
1853.71 42.247
1820.25 37.148
1799.87 34.0372
1799.07 33.9196
1798.27 33.7985
1756.06 27.6179
1743.06 25.7123
1742.81 25.6782
1742.55 25.6395
1686.54 17.77
1686.54 17.7715
1685.94 17.6884
1628.53 9.9656
1570.81 2.54381
1552.77 85.7253
1557.29 146.34
1563.82 204.364
1563.81 204.376
1563.85 204.642
1563.88 204.89
1565.9 218.498
1572.05 260.019
1572.2 260.827
1572.31 261.593
1575.98 281.601
1581.89 314.065
1582.18 315.394
1582.4 316.642
1586.98 337.822
1593.17 366.669
1593.62 368.488
1593.98 370.199
1599.25 391.458
1605.75 417.969
1606.38 420.255
1606.91 422.409
1612.71 443.307
1619.52 468.084
1620.35 470.823
1621.06 473.397
1627.29 493.76
1634.37 517.12
1635.41 520.289
1636.32 523.274
1642.91 543.044
1650.2 565.17
1651.47 568.759
1652.6 572.137
1659.46 591.262
1666.94 612.317
1668.45 616.314
1669.8 620.074
1676.89 638.575
1684.5 658.635
1686.26 663.019
1687.85 667.16
1695.12 685.027
1702.83 704.19
1704.86 708.969
1706.68 713.465
1714.07 730.687
1721.86 749.041
1724.16 754.198
1726.24 759.05
1733.72 775.665
1741.54 793.241
1744.11 798.768
1746.46 803.97
1753.99 819.99
1761.47 836.072
1761.47 836.08
1761.66 836.48
1761.83 836.838
1764.68 842.725
1767.29 848.275
1773.28 860.517
1780.85 876.171
1781.83 878.13
1782.67 879.876
1785.81 886.119
1788.69 892.009
1794.17 902.801
1800.68 915.808
1802.48 919.293
1804.04 922.395
1807.47 928.999
1810.63 935.214
1815.44 944.381
1820.94 955.02
1823.59 960.015
1825.89 964.428
1829.61 971.37
1833.05 977.926
1837.1 985.407
1841.59 993.835
1845.14 1000.33
1848.19 1006.01
1852.22 1013.31
1855.94 1020.18
1859.14 1025.93
1862.62 1032.28
1867.09 1040.25
1870.91 1047.17
1875.25 1054.83
1879.25 1062
1881.55 1066.01
1883.99 1070.37
1889.43 1079.83
1894.03 1087.94
1898.67 1095.92
1902.97 1103.42
1904.3 1105.69
1905.7 1108.13
1912.16 1119.12
1917.52 1128.33
1922.39 1136.51
1922.96 1137.5
1927.06 1144.47
1927.38 1145.01
1927.72 1145.58
1935.24 1158.11
1941.35 1168.38
1945.53 1175.24
1950.03 1182.74
1950.81 1184.02
1951.5 1185.17
1957.74 1195.33
1958.73 1196.94
1965.51 1208.1
1968.95 1213.63
1972.62 1219.62
1974.59 1222.78
1976.28 1225.53
1983.11 1236.44
1989.98 1247.51
