r1 m1
6.41644e+00 1.23582e+00
6.42104e+00 1.25019e+00
6.44814e+00 1.25964e+00
6.47208e+00 1.26457e+00
6.52644e+00 1.27279e+00
6.59111e+00 1.27894e+00
6.60474e+00 1.28041e+00
6.68303e+00 1.28303e+00
6.76133e+00 1.27972e+00
6.77466e+00 1.27894e+00
6.83963e+00 1.27428e+00
6.91793e+00 1.27591e+00
6.93408e+00 1.27894e+00
6.99622e+00 1.28573e+00
7.05612e+00 1.29331e+00
7.07452e+00 1.29455e+00
7.15282e+00 1.29931e+00
7.23112e+00 1.30215e+00
7.30941e+00 1.30316e+00
7.38771e+00 1.30262e+00
7.46601e+00 1.30096e+00
7.54431e+00 1.29853e+00
7.62261e+00 1.29565e+00
7.68254e+00 1.29331e+00
7.70090e+00 1.29254e+00
7.77920e+00 1.28935e+00
7.85750e+00 1.28661e+00
7.93580e+00 1.28490e+00
8.01409e+00 1.28481e+00
8.09239e+00 1.28603e+00
8.17069e+00 1.28732e+00
8.24899e+00 1.28796e+00
8.32729e+00 1.28821e+00
8.40558e+00 1.28864e+00
8.48388e+00 1.28954e+00
8.56218e+00 1.29072e+00
8.64048e+00 1.29177e+00
8.71877e+00 1.29261e+00
8.78589e+00 1.29331e+00
8.79707e+00 1.29342e+00
8.87537e+00 1.29436e+00
8.95367e+00 1.29541e+00
9.03197e+00 1.29652e+00
9.11026e+00 1.29762e+00
9.18856e+00 1.29842e+00
9.26686e+00 1.29828e+00
9.34516e+00 1.29638e+00
9.40180e+00 1.29331e+00
9.42345e+00 1.29172e+00
9.50175e+00 1.28275e+00
9.52766e+00 1.27894e+00
9.58005e+00 1.26768e+00
9.59360e+00 1.26457e+00
9.64421e+00 1.25019e+00
9.65835e+00 1.24659e+00
9.70829e+00 1.23582e+00
9.73664e+00 1.23174e+00
9.81494e+00 1.22290e+00
9.83003e+00 1.22145e+00
9.89324e+00 1.21696e+00
9.97154e+00 1.21154e+00
1.00306e+01 1.20707e+00
1.00498e+01 1.20576e+00
1.01281e+01 1.19896e+00
1.01866e+01 1.19270e+00
1.02064e+01 1.19037e+00
1.02847e+01 1.17941e+00
1.02921e+01 1.17833e+00
1.03630e+01 1.16568e+00
1.03733e+01 1.16395e+00
1.04413e+01 1.15094e+00
1.04499e+01 1.14958e+00
1.05196e+01 1.13897e+00
1.05514e+01 1.13521e+00
1.05979e+01 1.13055e+00
1.06762e+01 1.12413e+00
1.07174e+01 1.12083e+00
1.07545e+01 1.11829e+00
1.08328e+01 1.11158e+00
1.08734e+01 1.10646e+00
1.09111e+01 1.10219e+00
1.09755e+01 1.09209e+00
1.09894e+01 1.09006e+00
1.10615e+01 1.07771e+00
1.10677e+01 1.07669e+00
1.11460e+01 1.06372e+00
1.11486e+01 1.06334e+00
1.12243e+01 1.05206e+00
1.12490e+01 1.04897e+00
1.13026e+01 1.04159e+00
1.13579e+01 1.03459e+00
1.13809e+01 1.03119e+00
1.14479e+01 1.02022e+00
1.14592e+01 1.01800e+00
1.15096e+01 1.00584e+00
1.15375e+01 9.98152e-01
1.15578e+01 9.91471e-01
1.16030e+01 9.77098e-01
