R M
1.025124347425749249e+01 1.044729116571878613e+00
5.986329720033715773e+00 1.284433523058858162e+00
1.003990968589743105e+01 4.187470465325273672e-01
9.314421884460596601e+00 1.021399437671352661e+00
1.056709324205073131e+01 7.632882584806947035e-01
1.041905622603933779e+01 6.322449796183775561e-01
7.193667850582000867e+00 9.986036227694656819e-01
8.982173033660368233e+00 8.231461895021447983e-01
7.909984622121506881e+00 1.329675639821387367e+00
1.216725375073682969e+01 9.124362843955484692e-01
1.114151395257570343e+01 6.134202760939747590e-01
6.245627849641724794e+00 1.276551561266066059e+00
7.506156300200473197e+00 1.102527265787329513e+00
9.224794833440430608e+00 1.039482290907641993e+00
1.107850306155530618e+01 7.420912248621407414e-01
9.266417046603105945e+00 4.390282463322066064e-01
9.924350602263459109e+00 4.769867774135118088e-01
1.001660945009762926e+01 8.175995636160735547e-01
7.409979280707309712e+00 1.144433120683685745e+00
9.622149402155056208e+00 1.147204169722596312e+00
1.026060113403118201e+01 4.176196361282784597e-01
1.002148114594243644e+01 1.320198785317698631e+00
1.073131726132491082e+01 1.370097118450334550e+00
8.889691876866715248e+00 1.380919494044667628e+00
9.239842371726826542e+00 5.153991924026843918e-01
6.538891387743577255e+00 1.308782256843315173e+00
7.749352634449973465e+00 7.876238873198305734e-01
9.491695342600374730e+00 7.959016728300493115e-01
8.440012639527090244e+00 1.030915318813128589e+00
1.215589899817140029e+01 8.810602227661525898e-01
9.160810411052839441e+00 7.173880145803843700e-01
8.577590381303853206e+00 9.976608601578971225e-01
1.026386174140123231e+01 4.245804051821841507e-01
1.079270332892963324e+01 4.370726094949463070e-01
9.282965625449321578e+00 9.040238088367489322e-01
7.527046139912950906e+00 1.276832662580822841e+00
8.752628611833427996e+00 1.435985640465400781e+00
8.512505767793140166e+00 1.372784876145140220e+00
9.195523999762615475e+00 9.731578265189286814e-01
5.968090348820070723e+00 1.171634889491088183e+00
8.816382333179490161e+00 1.145576591637447184e+00
8.493313440680106297e+00 8.135485780910786113e-01
9.611438201836843831e+00 9.094020977484070789e-01
1.084092704512925565e+01 6.610893692221060380e-01
9.434041824225825934e+00 6.040510586817398053e-01
8.377569023896018763e+00 9.887014413666528334e-01
1.049686413004065955e+01 5.593608788427296696e-01
8.622277724682010813e+00 1.154171752802867434e+00
1.026066877436409008e+01 6.256143385772416909e-01
9.153754047670176419e+00 4.762375464669995617e-01
7.077229341014443342e+00 1.521830575599132596e+00
1.018781640473786787e+01 5.720852018483446599e-01
9.202986250490603481e+00 1.034107481989481325e+00
9.218838171076745525e+00 1.158095192014207298e+00
7.036869613095061204e+00 1.481225554332123995e+00
5.911975019987275815e+00 1.191714098111477771e+00
5.945880688341095066e+00 1.207942717353249984e+00
9.077082059737568542e+00 5.968449845092147488e-01
